category	gene_name	zf gene ID
heat_responsive	dnajc4	ENSDARG00000114838
heat_responsive	dnajc5aa	ENSDARG00000042948
heat_responsive	dnajc5ab	ENSDARG00000004836
heat_responsive	dnajc5b	ENSDARG00000058147
heat_responsive	dnajc5ga	ENSDARG00000041896
heat_responsive	dnajc5gb	ENSDARG00000017687
heat_responsive	dnajc5gb	ENSDARG00000111738
heat_responsive	dnajc6	ENSDARG00000079891
heat_responsive	dnajc7	ENSDARG00000058148
heat_responsive	dnajc8	ENSDARG00000059373
heat_responsive	dnajc9	ENSDARG00000031293
heat_responsive	dnajc9	ENSDARG00000111989
heat_responsive	hsf1	ENSDARG00000008818
heat_responsive	hsf2bp	ENSDARG00000035080
heat_responsive	hsf2	ENSDARG00000053097
heat_responsive	hsf4	ENSDARG00000013251
heat_responsive	hsf5	ENSDARG00000104686
heat_responsive	hsbp1a	ENSDARG00000069425
heat_responsive	hsbp1b	ENSDARG00000041921
heat_responsive	hsbp1l1	ENSDARG00000075984
heat_responsive	clpxa	ENSDARG00000029063
heat_responsive	clpxb	ENSDARG00000067796
heat_responsive	hsp70.1	ENSDARG00000029688
heat_responsive	hsp70.2	ENSDARG00000092362
heat_responsive	hsp70.3	ENSDARG00000021924
heat_responsive	hsp70l	ENSDARG00000055723
heat_responsive	hsp90aa1.1	ENSDARG00000010478
heat_responsive	hsp90aa1.2	ENSDARG00000024746
heat_responsive	hsp90ab1	ENSDARG00000029150
heat_responsive	hsp90b1	ENSDARG00000003570
heat_responsive	hsp90b1	ENSDARG00000114206
heat_responsive	hspa12a	ENSDARG00000070603
heat_responsive	hspa12b	ENSDARG00000030307
heat_responsive	hspa13	ENSDARG00000040984
heat_responsive	hspa14	ENSDARG00000058030
heat_responsive	hspa14	ENSDARG00000112257
heat_responsive	hspa14	ENSDARG00000114313
heat_responsive	hspa4a	ENSDARG00000004754
heat_responsive	hspa4b	ENSDARG00000018989
heat_responsive	hspa4b	ENSDARG00000112727
heat_responsive	hspa4b	ENSDARG00000116230
heat_responsive	hspa4l	ENSDARG00000053544
heat_responsive	hspa5	ENSDARG00000103846
heat_responsive	hspa8	ENSDARG00000068992
heat_responsive	hspa8	ENSDARG00000114726
heat_responsive	hspa9	ENSDARG00000003035
heat_responsive	hspa9	ENSDARG00000114629
heat_responsive	hspb11	ENSDARG00000002204
heat_responsive	hspb15	ENSDARG00000078411
heat_responsive	hspb1	ENSDARG00000041065
heat_responsive	hspb2	ENSDARG00000052450
heat_responsive	hspb2	ENSDARG00000114010
heat_responsive	hspb3	ENSDARG00000067714
heat_responsive	hspb3	ENSDARG00000116486
heat_responsive	hspb6	ENSDARG00000077236
heat_responsive	hspb7	ENSDARG00000104441
heat_responsive	hspb8	ENSDARG00000058365
heat_responsive	hspb8	ENSDARG00000109236
heat_responsive	hspb9	ENSDARG00000078674
heat_responsive	hspbap1	ENSDARG00000033771
heat_responsive	hspbp1	ENSDARG00000102937
heat_responsive	hspd1	ENSDARG00000056160
heat_responsive	hspe1	ENSDARG00000056167
heat_responsive	hspg2	ENSDARG00000076564
heat_responsive	hsph1	ENSDARG00000019874
hlhpas_transcription_factors	arnt	ENSDARG00000021855
hlhpas_transcription_factors	arnt	ENSDARG00000115999
hlhpas_transcription_factors	ahrra	ENSDARG00000099702
hlhpas_transcription_factors	ahrrb	ENSDARG00000052618
hlhpas_transcription_factors	ahrrb	ENSDARG00000111273
hlhpas_transcription_factors	ahrrb	ENSDARG00000116560
hlhpas_transcription_factors	clocka	ENSDARG00000011703
hlhpas_transcription_factors	clockb	ENSDARG00000003631
hlhpas_transcription_factors	hif1aa	ENSDARG00000006181
hlhpas_transcription_factors	hif1ab	ENSDARG00000034293
hlhpas_transcription_factors	hif1al2	ENSDARG00000044550
hlhpas_transcription_factors	hif1al	ENSDARG00000100826
hlhpas_transcription_factors	hif1an	ENSDARG00000031915
hlhpas_transcription_factors	ahr1a	ENSDARG00000020046
hlhpas_transcription_factors	ahr1b	ENSDARG00000023537
hlhpas_transcription_factors	ahr2	ENSDARG00000021833
hlhpas_transcription_factors	arnt2	ENSDARG00000103697
hlhpas_transcription_factors	arntl1a	ENSDARG00000006791
hlhpas_transcription_factors	arntl1b	ENSDARG00000035732
hlhpas_transcription_factors	arntl1b	ENSDARG00000114562
hlhpas_transcription_factors	arntl2	ENSDARG00000041381
hlhpas_transcription_factors	arntl2	ENSDARG00000109690
hlhpas_transcription_factors	arntl2	ENSDARG00000116327
hlhpas_transcription_factors	ncoa1	ENSDARG00000018257
hlhpas_transcription_factors	ncoa2	ENSDARG00000017929
hlhpas_transcription_factors	ncoa3	ENSDARG00000077404
hlhpas_transcription_factors	ncoa4	ENSDARG00000021439
hlhpas_transcription_factors	ncoa5	ENSDARG00000016345
hlhpas_transcription_factors	ncoa6	ENSDARG00000071272
hlhpas_transcription_factors	npas1	ENSDARG00000015876
