category	gene_name	zf gene ID
reductases_phase_I	hsd3b2	ENSDARG00000115803
reductases_phase_I	hsd3b7	ENSDARG00000036966
reductases_phase_I	hsd3b7	ENSDARG00000111892
reductases_phase_I	hsd3b7	ENSDARG00000114115
reductases_phase_I	hsdl1	ENSDARG00000041736
reductases_phase_I	hsdl2	ENSDARG00000002523
reductases_phase_I	nqo1	ENSDARG00000010250
transferases_phase_II	nat10	ENSDARG00000054259
transferases_phase_II	nat14	ENSDARG00000115349
transferases_phase_II	nat15	ENSDARG00000061185
transferases_phase_II	nat16	ENSDARG00000076402
transferases_phase_II	nat16	ENSDARG00000086222
transferases_phase_II	nat8l	ENSDARG00000077256
transferases_phase_II	nat8l	ENSDARG00000115322
transferases_phase_II	nat9	ENSDARG00000071425
transferases_phase_II	nat9	ENSDARG00000111763
transferases_phase_II	sult1st1	ENSDARG00000028275
transferases_phase_II	sult1st2	ENSDARG00000041540
transferases_phase_II	sult1st3	ENSDARG00000018361
transferases_phase_II	sult1st4	ENSDARG00000003181
transferases_phase_II	sult1st5	ENSDARG00000003475
transferases_phase_II	sult1st5	ENSDARG00000111502
transferases_phase_II	sult1st6	ENSDARG00000006811
transferases_phase_II	sult1st7	ENSDARG00000079079
transferases_phase_II	sult1st9	ENSDARG00000094996
transferases_phase_II	sult2st1	ENSDARG00000033170
transferases_phase_II	sult2st2	ENSDARG00000103785
transferases_phase_II	sult2st3	ENSDARG00000028367
transferases_phase_II	sult3st1	ENSDARG00000009885
transferases_phase_II	sult3st2	ENSDARG00000093619
transferases_phase_II	sult3st2	ENSDARG00000110806
transferases_phase_II	sult3st3	ENSDARG00000042920
transferases_phase_II	sult3st3	ENSDARG00000094089
transferases_phase_II	sult3st4	ENSDARG00000040781
transferases_phase_II	sult3st4	ENSDARG00000115342
transferases_phase_II	sult4a1	ENSDARG00000101967
transferases_phase_II	sult5a1	ENSDARG00000007769
transferases_phase_II	sult6b1	ENSDARG00000086826
transferases_phase_II	ugt1a7	ENSDARG00000006220
transferases_phase_II	ugt1b1	ENSDARG00000097491
transferases_phase_II	ugt1b2	ENSDARG00000097231
transferases_phase_II	ugt1b3	ENSDARG00000097979
transferases_phase_II	ugt1b4	ENSDARG00000097024
transferases_phase_II	ugt1b5	ENSDARG00000089507
transferases_phase_II	ugt1b6p	ENSDARG00000103761
transferases_phase_II	ugt1b7	ENSDARG00000101176
transferases_phase_II	ugt2a1	ENSDARG00000051940
transferases_phase_II	ugt2a4	ENSDARG00000110720
transferases_phase_II	ugt2a5	ENSDARG00000011537
transferases_phase_II	ugt2a5	ENSDARG00000116508
transferases_phase_II	ugt2a6	ENSDARG00000039501
transferases_phase_II	ugt2a7	ENSDARG00000091624
transferases_phase_II	ugt2a7	ENSDARG00000093043
transferases_phase_II	ugt2a7	ENSDARG00000110614
transferases_phase_II	ugt2b3	ENSDARG00000116986
transferases_phase_II	ugt5a1	ENSDARG00000016479
transferases_phase_II	ugt5a2	ENSDARG00000093640
transferases_phase_II	ugt5a4	ENSDARG00000097397
transferases_phase_II	ugt5b1	ENSDARG00000104995
transferases_phase_II	ugt5b2	ENSDARG00000101495
transferases_phase_II	ugt5b3	ENSDARG00000099276
transferases_phase_II	ugt5b4	ENSDARG00000091916
transferases_phase_II	ugt5b5	ENSDARG00000104203
transferases_phase_II	ugt5c1	ENSDARG00000061444
transferases_phase_II	ugt5c2	ENSDARG00000006372
transferases_phase_II	ugt5c3	ENSDARG00000061439
transferases_phase_II	ugt5d1	ENSDARG00000002394
transferases_phase_II	ugt5e1	ENSDARG00000058048
transferases_phase_II	ugt5f1	ENSDARG00000054835
transferases_phase_II	ugt5g1	ENSDARG00000032862
transferases_phase_II	ugt5g1	ENSDARG00000111242
transferases_phase_II	ugt5g2	ENSDARG00000043901
transferases_phase_II	ugt5g2	ENSDARG00000112752
transferases_phase_II	ugt8	ENSDARG00000037455
transferases_phase_II	ugt8	ENSDARG00000112659
transferases_phase_II	aanat1	ENSDARG00000036567
transferases_phase_II	aanat2	ENSDARG00000079802
transferases_phase_II	gsta.1	ENSDARG00000090228
transferases_phase_II	gsta.1	ENSDARG00000110669
transferases_phase_II	gsta.2	ENSDARG00000039832
transferases_phase_II	gsta.2	ENSDARG00000113831
transferases_phase_II	gstk1	ENSDARG00000056510
transferases_phase_II	gstk2	ENSDARG00000019585
transferases_phase_II	gstk4	ENSDARG00000092052
transferases_phase_II	gstk4	ENSDARG00000093119
transferases_phase_II	gstm.1	ENSDARG00000042533
transferases_phase_II	gstm.2	ENSDARG00000029473
transferases_phase_II	gstm.3	ENSDARG00000088116
transferases_phase_II	gstp1	ENSDARG00000104068
transferases_phase_II	gstp2	ENSDARG00000103019
transferases_phase_II	gstt1a	ENSDARG00000042428
transferases_phase_II	gstt1a	ENSDARG00000110738
transferases_phase_II	gstt1b	ENSDARG00000017388
transferases_phase_II	gstt1b	ENSDARG00000112401
transferases_phase_II	gstt2	ENSDARG00000095464
transferases_phase_II	gstt2	ENSDARG00000110618
transferases_phase_II	gstz1	ENSDARG00000027984
transferases_phase_II	mgst1.1	ENSDARG00000032618
transferases_phase_II	mgst1.1	ENSDARG00000113133
transferases_phase_II	mgst1.2	ENSDARG00000022165
transferases_phase_II	mgst1.2	ENSDARG00000110212
transferases_phase_II	mgst2	ENSDARG00000071345
transferases_phase_II	mgst3a	ENSDARG00000102744
transferases_phase_II	mgst3b	ENSDARG00000033364
