ID	3.3_con_rep1	3.3_con_rep2	3.3_con_rep3	3.3_bap_rep1	3.3_bap_rep2	3.3_bap_rep3
buc	797.5951412	827.662425	838.7333416	848.4483808	570.7932099	712.8752626
top1l	789.5315092	393.809197	654.6343293	600.9619912	840.6011309	636.6755548
hmgb2a	787.8764029	706.2501267	701.7711994	791.7960412	895.0387698	708.2562783
ddx39ab	787.7217736	868.8165488	767.4283378	783.7806222	864.9042328	839.3199561
zgc:114130	783.884676	837.2257972	853.739883	859.4580375	843.1637824	937.0087662
ncapd2	782.3841991	953.6873874	910.8942531	921.7829022	747.2701117	963.6626509
hcfc1a	781.2846129	769.5406763	774.2981242	871.31833	912.7294826	830.2804596
eif4g2a	778.6158256	761.7602134	716.2315366	926.7943619	840.8489786	700.0783306
cdc20	778.2263889	871.0738099	794.2148736	918.5990942	808.5913691	818.2097547
ivns1abpb	776.0730326	839.2704178	817.7804932	793.8861747	837.781279	890.4264906
hdlbp	775.25407	694.1732343	745.7096772	844.9194577	685.3362496	619.6430505
cnot6	772.247389	598.5286081	693.8540522	585.2665468	702.4891797	638.0513265
xrn2	768.0094006	727.8413204	683.9379098	739.6301974	779.7942744	794.90734
kif23	766.8525443	823.0279516	793.4040136	837.895637	730.8560482	840.21308
pnrc2	765.9648576	569.522257	617.548745	582.9917038	957.3467415	536.3434587
mycl1a	757.9527687	676.6385679	610.2397428	679.7114166	600.8903358	686.6904935
parn	755.4557918	957.7766287	822.9497259	878.2643783	554.2949718	819.4682474
zfand5b	752.1913953	756.3351533	749.842811	729.3107708	852.3668812	878.4911075
etf1	751.3953408	591.74592	695.1491759	616.2491304	736.6687778	753.94543
pprc1	750.2041224	681.1476379	771.5783645	618.6989613	690.8356623	756.4669263
ide	748.2340305	809.4625754	770.3226577	779.4934181	848.396642	796.5943519
ankhd1	733.4010712	645.058721	626.8567424	733.9576723	649.7022999	679.4327341
UBAP2 (2 of 2)	730.9842724	648.7990136	651.8582599	658.5330174	675.2352875	595.7903272
cdca7a	729.8445971	809.7788101	794.6597204	776.8588778	863.4592341	886.1007036
papolg	729.3291661	715.0610785	785.2334726	730.9828777	778.2884828	782.4442019
chd8	726.8780053	676.8621131	648.8682136	723.7062966	759.5970265	760.0484434
prmt1	720.69856	767.8886229	734.4195775	788.1650418	839.2590124	725.9653917
mylipa	714.627928	1086.947581	861.0207304	954.5202259	719.9413975	873.2586645
slc25a5	711.2260833	709.559686	700.7576244	719.083699	689.3018125	662.5400623
ccna2	708.0934081	719.9736203	693.7189089	717.3435413	803.5128298	820.7177188
cdc25	704.2792185	711.5552357	713.500515	694.58539	771.554508	851.3771288
srsf1a	698.1742245	720.1862609	669.5113585	724.0319685	766.1860337	740.440314
CDC6	696.6565665	795.0902556	728.7660812	764.4298746	886.1957515	781.3841811
hnrnpm	690.8092879	598.5831313	553.0453929	522.4993514	670.4747414	641.3622
cfl1	689.3202649	517.3326342	596.2580383	556.5490845	639.9660948	491.0828261
rbm4.3	688.4096701	719.3356987	661.3126626	754.7034626	844.5526647	694.954145
nucks1a	687.9744173	663.1822381	696.962349	752.4966705	806.3467108	758.6546288
kpna4	686.1360466	665.6575921	704.6711502	698.3767949	799.7343218	773.1927013
smc4	680.0539606	827.4225229	757.9176254	732.8494155	863.7211109	729.163497
CABZ01092303.1	676.7666561	815.8036255	697.7957329	665.7658514	758.6757814	732.1586196
cldnd	676.4974866	1145.331041	751.9206398	940.3705081	574.7307145	650.5821255
smek1	669.9858747	651.6124116	683.6169444	720.4884631	711.5847219	732.9344646
smarca4	663.9209697	633.24354	621.6143071	701.473109	679.2008504	555.3020435
anln	663.5086249	705.4431831	715.6064987	788.0192185	697.6257535	776.3186349
plk1	662.1284151	846.1676047	751.6165673	871.1627851	635.3411635	689.1037324
ppm1g	660.2843175	623.9745932	644.7238179	682.389704	718.6179844	673.7807934
SPEN (2 of 2)	659.1560963	553.4815267	587.1978037	645.4429487	591.5329168	584.5225316
ccne1	657.6670733	717.2583641	687.8683285	719.5114472	761.4488696	761.721923
ENSDARG00000002369	657.4265388	561.572772	666.0652033	620.6529931	625.6844567	547.4849539
hdac1	656.1895044	628.0801914	611.7657363	648.8406308	684.574001	615.7638254
cdh1	654.7520245	722.5907347	697.8801975	794.3868346	672.1582351	661.191355
