ID	96_con_rep1	96_con_rep2	96_bap_rep1	96_bap_rep2
hbae3	1148.452667	719.5096845	659.4155591	769.8516911
gapdhs	1145.306533	1099.061318	1127.477975	1136.159114
pabpc1a	1142.905137	1189.810176	1086.247328	1139.257473
rpl10a	1136.118912	1030.268621	1101.07937	1356.849329
rps14	1135.78454	952.6479989	1075.978009	1232.841477
RPL37A	1131.939266	888.9112397	1097.392128	1321.189934
aldob	1122.394475	839.5498074	801.5437069	1399.349992
serbp1	1109.194394	1157.797429	1036.357735	1187.46296
rpl17	1107.59093	969.6649457	1060.474979	1108.132537
rpl13a	1099.049254	979.8566839	1083.876502	1237.545555
rps10	1097.460988	995.2026525	1003.108656	1063.556879
aldoab	1090.895145	880.5624922	896.600413	902.5666097
rpl5b	1086.441922	962.8090206	963.6353606	1063.262874
rps7	1068.689827	907.0892706	1048.972319	1248.582045
fetub	1055.238967	891.4975699	1052.033304	1220.753355
naca	1054.045868	921.0837128	956.9126948	1117.1223
vdac2	1048.923902	1050.701244	1086.848023	1178.959435
AK1	1046.423714	948.2063915	1141.869081	1142.282331
zgc:136930	1044.417484	712.0885756	998.5139826	856.566159
RPS17	1029.340362	777.0847117	1095.820098	1060.543329
ahcy	1023.45846	1023.529418	821.6030683	1331.050404
rpl24	1022.896108	883.4191276	969.6998187	1081.869989
rpl23	1015.418342	840.7723245	1017.391126	1043.892478
rpl11	1006.960259	873.8970094	1024.24799	1126.864038
rpl5a	1005.554378	904.3985043	974.1666851	1096.722887
uba52	994.1553437	867.8950032	1009.594879	1056.031486
rpl18	981.5024161	850.7429038	937.805498	1074.327633
krt8	967.4208095	880.7467912	900.5880018	983.1182837
rps23	962.8459973	821.5929354	920.5898499	1047.494037
rpl14	961.8884784	855.7804115	960.2165144	1017.850433
rpl28	958.6967489	848.6910409	960.6957919	982.9938971
rpl32	952.6628603	754.415927	891.4561677	1071.003117
slc25a3b	950.2766625	1044.410502	1007.543571	1086.958534
hdlbp	949.1215604	984.027986	910.0649158	918.6351053
hbbe1.1	947.4725002	721.5308309	684.0248616	743.0859422
smyhc1	944.6531391	1032.652222	1067.069838	909.3965684
rpl35a	940.6482786	739.1866811	929.1209896	1007.492416
neb	939.8731442	998.8456307	902.3261816	787.3506334
rps19	938.2392827	783.5904686	943.8124428	1023.131213
ENSDARG00000035423	931.8330257	980.1208459	927.3636387	861.6547045
col11a1a	928.9604691	998.8026276	727.3835003	629.6170331
pfn1	924.3780575	711.1855101	813.7493075	793.6773915
actc1a	921.3915106	890.5453581	781.6377143	716.0714199
gpm6aa	914.6128851	783.5290356	773.5730715	733.0388919
calm3a	895.4397101	850.2330097	973.2081301	1023.713568
rplp2l	886.8600372	691.2996413	824.3061934	908.8424824
tubb4b	877.6648165	945.2637498	930.6738487	898.9820121
rpl30	872.3148699	724.258457	782.8774455	1010.319386
rps15	871.1901652	721.3158153	829.386535	956.052876
and2	868.2492145	955.9285222	884.075294	893.1867243
rps24	865.8706161	691.2013484	832.2238579	988.6647982
rpl39	863.4616202	675.4560652	806.406776	1074.112784
rpl35	854.5931719	726.5744819	840.0967898	1033.636232
actn3b	851.7434134	958.1769708	825.3542136	728.6005495
hnrnpab	846.3706687	825.6352281	851.5866693	813.403986
cryba1b	842.2366191	770.5543816	852.3599036	837.3879967
cryba1l	841.3778919	703.4940959	804.2212706	778.7566456
eno3	829.1429288	773.9762008	851.9892624	898.0547661
