sample_SRR5892249	sample_SRR5892250	sample_SRR5892253
ENSGACG00000016217	40.8468749478415	40.3035337474127	42.2336377528208
ENSGACG00000016220	63.1818656828681	57.5142319422539	72.9939687624865
ENSGACG00000016224	16.600330951709	16.5571273773155	15.0339881462032
ENSGACG00000016231	48.694304125013	42.9178170175152	48.5637380249064
ENSGACG00000016234	101.312322838612	96.1838386458526	107.413888991952
ENSGACG00000016271	48.1912637931431	43.3535308958656	48.9593692919117
ENSGACG00000016277	56.1393010366886	65.0302963437984	53.3113132289705
ENSGACG00000016279	18.4112761464409	18.1910544211295	18.0012226487433
ENSGACG00000016282	2.21337746022786	1.52499857422643	3.85740485330213
ENSGACG00000016283	5.53344365056966	7.62499287113214	6.82463935584224
ENSGACG00000016300	23.6428955978886	17.4285551340163	21.1662727847861
ENSGACG00000016304	49.599776722379	50.6517383582349	52.0255116112031
ENSGACG00000016311	45.8772782665412	42.9178170175152	53.1134975954678
ENSGACG00000016318	23.2404633323926	24.6178341267981	25.4193089050936
ENSGACG00000016320	23.5422875315146	25.2714049443237	25.8149401720989
ENSGACG00000016321	28.0696505183443	26.9053319881377	33.8264733289572
ENSGACG00000016326	141.052509056339	170.581983374185	156.076534833609
ENSGACG00000016329	21.1276939385387	20.6964092216444	21.7597196852941
ENSGACG00000016332	56.7429494349325	61.6535137865827	55.7840086477539
ENSGACG00000016337	68.6147012670638	72.5463607453429	82.2913035371122
ENSGACG00000016340	0	0	0
ENSGACG00000016341	2.71641779209783	3.26785408762806	2.9672345025401
ENSGACG00000016344	12.2741840976272	17.2106981948411	14.4405412456952
ENSGACG00000016352	3.52128232308978	2.72321173969005	2.17597196852941
ENSGACG00000016353	37.7280248902477	35.292824146383	41.6401908523128
ENSGACG00000016356	34.9109990317759	40.5213906865879	37.288246915254
ENSGACG00000016358	10.4632389028954	11.9821316546362	11.0776754761497
ENSGACG00000016360	42.6578201425734	32.024970058755	35.4089983969786
ENSGACG00000016362	4.22553878770774	6.64463664484372	5.24211428782085
ENSGACG00000016363	64.0873382802341	52.1767369324614	66.1693294066443
ENSGACG00000016366	15.594250287969	17.3196266644287	15.1328959629545
ENSGACG00000016370	0.905472597365945	1.52499857422643	0.494539083756684
ENSGACG00000016372	33.301269969792	33.2231832242186	31.5515935436764
ENSGACG00000016378	3.42067425671579	3.26785408762806	3.95631267005347
