sample_SRR5892254	sample_SRR5892255	sample_SRR5892257
ENSGACG00000016217	117.348282323719	120.350910549718	131.420050775305
ENSGACG00000016220	0.282313429808465	0.271366201915936	0.152991910099308
ENSGACG00000016224	9.12813423047369	6.37710574502449	8.49105101051157
ENSGACG00000016231	0	0	0
ENSGACG00000016234	469.769547201285	451.689043089075	469.991147825073
ENSGACG00000016271	45.4524621991628	42.7401768017599	44.8266296590971
ENSGACG00000016277	20.7970893292236	21.9806623551908	21.9543390992506
ENSGACG00000016279	10.3514924263104	9.36213396609979	10.6329377519019
ENSGACG00000016282	0	0	0
ENSGACG00000016283	46.1111935353826	51.5595783640278	46.9685164004875
ENSGACG00000016300	46.2052980119854	41.9260781960121	48.4219395464309
ENSGACG00000016304	0.0941044766028216	0.407049302873904	0
ENSGACG00000016311	8.2811939410483	9.22645086514182	8.10857123526331
ENSGACG00000016318	79.3300737761786	77.6107337479577	79.7852811167889
ENSGACG00000016320	357.314697660914	362.952295062564	364.6562177217
ENSGACG00000016321	5.36395516636083	5.69869024023465	3.82479775248269
ENSGACG00000016326	200.348430687407	202.98191903312	217.707488071315
ENSGACG00000016329	1.88208953205643	2.57797891820139	1.75940696614204
ENSGACG00000016332	26.5374624019957	26.4582046868037	30.4453901097622
ENSGACG00000016337	0.188208953205643	0.271366201915936	0.458975730297923
ENSGACG00000016340	0	0	0
ENSGACG00000016341	0.282313429808465	0.135683100957968	0.688463595446884
ENSGACG00000016344	5.83447754937494	7.86961985556214	7.42010763981642
ENSGACG00000016352	0.564626859616929	0.542732403831872	0.382479775248269
ENSGACG00000016353	179.739550311389	184.393334201878	193.687758185723
ENSGACG00000016356	44.4173129565318	45.7252050228352	53.3176806696087
ENSGACG00000016358	0.0941044766028216	0.271366201915936	0.152991910099308
ENSGACG00000016360	0.564626859616929	0.542732403831872	0.382479775248269
ENSGACG00000016362	24.5612683933364	25.237056778182	25.0906732562865
ENSGACG00000016363	140.215670138204	148.301629347059	140.064093695916
ENSGACG00000016366	48.2755964972475	45.5895219218772	48.6514274115798
ENSGACG00000016370	2.72902982148183	2.98502822107529	3.67180584238338
ENSGACG00000016372	9.69276109009062	8.27666915843604	9.79148224635569
ENSGACG00000016378	21.7381340952518	25.7797891820139	18.8945008972645
ENSGACG00000016380	11.4807461455442	10.9903311775954	11.2449053922991
ENSGACG00000016381	40.7472383690218	41.1119795902643	43.755686288402
ENSGACG00000016387	35.9479100622778	32.9709935327862	38.0949856147276
ENSGACG00000016388	12.6099998647781	9.36213396609979	12.7748244932922
ENSGACG00000016398	240.625146673415	232.289468840041	225.127595711131
ENSGACG00000016402	8.18708946444548	7.86961985556214	8.49105101051157
ENSGACG00000016407	0	0	0
ENSGACG00000016409	0	0	0
ENSGACG00000016411	1.03514924263104	0.949781706705775	1.22393528079446
ENSGACG00000016419	0	0.135683100957968	0
ENSGACG00000016422	0	0	0
ENSGACG00000016423	0	0	0
ENSGACG00000016424	0	0	0
