category	geneName	Gene_ID	Gene_Name	cleavage_2-cell	blastula_1k-cell	gastrula_50%-epiboly	segmentation_1-4_somites	larval_protruding_mouth
Phase_II_transferases	gstk4	ENSDARG00000093119	gstk4				2	
Phase_II_transferases	gstm.1	ENSDARG00000042533	gstm.1	72	214	43	111	87
Phase_II_transferases	gstm.2	ENSDARG00000029473	gstm.2	2	10	2	5	4
Phase_II_transferases	gstm.3	ENSDARG00000088116	gstm.3	3	2	1	1	32
Phase_II_transferases	gstp1	ENSDARG00000104068	gstp1	808	504	72	103	660
Phase_II_transferases	gstp2	ENSDARG00000103019	gstp2					17
Phase_II_transferases	gstt1a							
Phase_II_transferases	gstt1a	ENSDARG00000042428	gstt1a	1	0.6	2	1	111
Phase_II_transferases	gstt1b							
Phase_II_transferases	gstt1b	ENSDARG00000017388	gstt1b	3	19	15	3	23
Phase_II_transferases	gstt2							
Phase_II_transferases	gstt2	ENSDARG00000095464	gstt2		0.1	1	5	12
Phase_II_transferases	gstz1	ENSDARG00000027984	gstz1		0.7		4	19
Phase_II_transferases	mgst1.1							
Phase_II_transferases	mgst1.1	ENSDARG00000032618	mgst1.1			4	9	13
Phase_II_transferases	mgst1.2							
Phase_II_transferases	mgst1.2	ENSDARG00000022165	mgst1.2	0.4	4	11	27	18
Phase_II_transferases	mgst2	ENSDARG00000071345	mgst2	7	9	82	69	38
Phase_II_transferases	mgst3a	ENSDARG00000102744	mgst3a	14	17	10	29	93
Phase_II_transferases	mgst3b	ENSDARG00000033364	mgst3b	34	67	215	217	153
Phase_II_transferases	nat10	ENSDARG00000054259	nat10	20	75	56	116	16
Phase_II_transferases	nat14							
Phase_II_transferases	nat15	ENSDARG00000061185	nat15	84	44	11	10	22
Phase_II_transferases	nat16	ENSDARG00000086222	nat16				5	17
Phase_II_transferases	nat8l							
Phase_II_transferases	nat8l	ENSDARG00000077256	nat8l			2	42	56
Phase_II_transferases	nat9							
Phase_II_transferases	nat9	ENSDARG00000071425	nat9	4	4	29	56	31
Phase_II_transferases	sult1st1	ENSDARG00000028275	sult1st1			0.3	1	26
Phase_II_transferases	sult1st2	ENSDARG00000041540	sult1st2					
Phase_II_transferases	sult1st3	ENSDARG00000018361	sult1st3	0.4				0.7
Phase_II_transferases	sult1st4	ENSDARG00000003181	sult1st4					6
Phase_II_transferases	sult1st5							
Phase_II_transferases	sult1st5	ENSDARG00000003475	sult1st5					1
Phase_II_transferases	sult1st6	ENSDARG00000006811	sult1st6					11
Phase_II_transferases	sult1st7	ENSDARG00000079079	sult1st7					
Phase_II_transferases	sult1st9							
Phase_II_transferases	sult2st1	ENSDARG00000033170	sult2st1		0.7	1	31	44
Phase_II_transferases	sult2st2	ENSDARG00000103785	sult2st2			0.8	5	69
Phase_II_transferases	sult2st3	ENSDARG00000028367	sult2st3	0.9		1	2	4
Phase_II_transferases	sult3st1	ENSDARG00000009885	sult3st1	1	2	0.6	0.3	
Phase_II_transferases	sult3st2							
Phase_II_transferases	sult3st2	ENSDARG00000093619	sult3st2					3
Phase_II_transferases	sult3st3							
Phase_II_transferases	sult3st3	ENSDARG00000042920	sult3st3					4
Phase_II_transferases	sult3st4							
Phase_II_transferases	sult3st4	ENSDARG00000040781	sult3st4					2
Phase_II_transferases	sult4a1	ENSDARG00000101967	sult4a1					25
Phase_II_transferases	sult5a1	ENSDARG00000007769	sult5a1					0.4
Phase_II_transferases	sult6b1	ENSDARG00000086826	sult6b1			497	62	55
Phase_II_transferases	ugt1a7	ENSDARG00000006220	ugt1a1	0.3	0.4		0.2	24
Phase_II_transferases	ugt1b1	ENSDARG00000097491	ugt1b1			1	4	18
Phase_II_transferases	ugt1b2	ENSDARG00000097231	ugt1b2			0.6		2
Phase_II_transferases	ugt1b3	ENSDARG00000097979	ugt1b3			1		
Phase_II_transferases	ugt1b4	ENSDARG00000097024	ugt1b4			1		
Phase_II_transferases	ugt1b5	ENSDARG00000089507	ugt1b5			4	17	18
Phase_II_transferases	ugt1b6p	ENSDARG00000103761	ugt1b6p			4		
Phase_II_transferases	ugt1b7	ENSDARG00000101176	ugt1b7			3	2	2
Phase_II_transferases	ugt2a1	ENSDARG00000051940	ugt2a4	14	9	2	0.8	10
Phase_II_transferases	ugt2a4							
Phase_II_transferases	ugt2a5							
Phase_II_transferases	ugt2a5	ENSDARG00000011537	ugt2a5	0.2	0.4	1	3	3
Phase_II_transferases	ugt2a6	ENSDARG00000039501	ugt2a6	1	0.6		1	2
Phase_II_transferases	ugt2a7							
Phase_II_transferases	ugt2a7	ENSDARG00000091624	ugt2a7	0.1	0.1		1	8
Phase_II_transferases	ugt2a7	ENSDARG00000093043	ugt2a7					5
Phase_II_transferases	ugt2b3							
Phase_II_transferases	ugt5a1	ENSDARG00000016479	ugt5a1					2
Phase_II_transferases	ugt5a2	ENSDARG00000093640	ugt5a2				0.6	0.6
Phase_II_transferases	ugt5b1	ENSDARG00000104995	ugt5b1			0.4	0.4	4
Phase_II_transferases	ugt5b2	ENSDARG00000101495	ugt5b2		0.8		0.4	4
Phase_II_transferases	ugt5b3	ENSDARG00000099276	ugt5b2					7
Phase_II_transferases	ugt5b4	ENSDARG00000091916	ugt5b4	0.3	0.2			13
Phase_II_transferases	ugt5b4	ENSDARG00000097397	ugt5a4				4	
Phase_II_transferases	ugt5b5	ENSDARG00000104203	ugt5b5					
Phase_II_transferases	ugt5c1	ENSDARG00000061444	ugt5c1					0.4
Phase_II_transferases	ugt5c2	ENSDARG00000006372	ugt5c2					0.5
Phase_II_transferases	ugt5c3	ENSDARG00000061439	ugt5c3	0.6	3		2	4
Phase_II_transferases	ugt5d1	ENSDARG00000002394	ugt5d1					8
Phase_II_transferases	ugt5e1	ENSDARG00000058048	ugt5e1				0.4	5
Phase_II_transferases	ugt5f1	ENSDARG00000054835	ugt5f1	5	12	5	2	3
Phase_II_transferases	ugt5g1							
Phase_II_transferases	ugt5g1	ENSDARG00000032862	ugt5g1	3	12	2	7	5
Phase_II_transferases	ugt5g2							
Phase_II_transferases	ugt5g2							
Phase_II_transferases	ugt8							
Phase_II_transferases	ugt8	ENSDARG00000037455	ugt8	0.8	0.9	0.8	4	13
Phase_I_oxygenases	adh5							
Phase_I_oxygenases	adh5	ENSDARG00000080010	adh5	74	86	92	66	139
Phase_I_oxygenases	adh8a							
Phase_I_oxygenases	adh8a	ENSDARG00000091211	adh8a		2	1		
Phase_I_oxygenases	adh8b							
Phase_I_oxygenases	adh8b	ENSDARG00000024278	adh8b	7	30	23	24	81
Phase_I_oxygenases	aldh16a1	ENSDARG00000037935	aldh16a1	30	48	6	3	16
Phase_I_oxygenases	aldh18a1	ENSDARG00000099579	aldh18a1	78	157	125	3	27
Phase_I_oxygenases	aldh1a2							
Phase_I_oxygenases	aldh1a2	ENSDARG00000053493	aldh1a2			33	44	36
Phase_I_oxygenases	aldh1a3	ENSDARG00000076933	aldh1a3				1	5
Phase_I_oxygenases	aldh1l1							
Phase_I_oxygenases	aldh1l1	ENSDARG00000077004	aldh1l1	16	30	14	8	46
Phase_I_oxygenases	aldh1l2	ENSDARG00000070230	aldh1l2	4	7	9	20	14
Phase_I_oxygenases	aldh2.1	ENSDARG00000089924	aldh2.1	2	6	5	6	17
Phase_I_oxygenases	aldh2.2	ENSDARG00000028087	aldh2.2	22	30	24	2	21
Phase_I_oxygenases	aldh3a1	ENSDARG00000074791	aldh3a1	5	7	3	1	2
Phase_I_oxygenases	aldh3a2a	ENSDARG00000028259	aldh3a2a	62	88	8	6	13
Phase_I_oxygenases	aldh3a2b	ENSDARG00000029381	aldh3a2b				4	6
Phase_I_oxygenases	aldh3b1	ENSDARG00000013839	aldh3b1	37	62	70	45	14
Phase_I_oxygenases	aldh3b2	ENSDARG00000035606	aldh3b2			0.7		3
Phase_I_oxygenases	aldh4a1	ENSDARG00000038207	aldh4a1	4	4	7	53	26
Phase_I_oxygenases	aldh5a1							
Phase_I_oxygenases	aldh5a1	ENSDARG00000076544	aldh5a1	0.5	0.7	0.1	2	12
Phase_I_oxygenases	aldh6a1	ENSDARG00000053485	aldh6a1	16	74	79	35	197
Phase_I_oxygenases	aldh7a1	ENSDARG00000018426	aldh7a1	70	82	6	35	120
Phase_I_oxygenases	aldh8a1							
Phase_I_oxygenases	aldh8a1	ENSDARG00000036776	aldh8a1	3	4	2	2	27
Phase_I_oxygenases	aldh9a1a.1							
Phase_I_oxygenases	aldh9a1a.1	ENSDARG00000069100	aldh9a1a.1	144	152	174	39	192
Phase_I_oxygenases	aldh9a1a.2							
Phase_I_oxygenases	aldh9a1a.2	ENSDARG00000055331	aldh9a1a.2	2	2	7	2	2
Phase_I_oxygenases	aldh9a1b	ENSDARG00000037061	aldh9a1b	13	41	36	35	22
Phase_I_oxygenases	cyp1a	ENSDARG00000098315	cyp1a	0.8	0.4		0.3	8
Phase_I_oxygenases	cyp1b1							
Phase_I_oxygenases	cyp1b1	ENSDARG00000068934	cyp1b1					2
Phase_I_oxygenases	cyp1c1	ENSDARG00000101195	ENSDARG00000101195				1	9
Phase_I_oxygenases	cyp1c2	ENSDARG00000101789	cyp1c2					2
Phase_I_oxygenases	cyp1d1	ENSDARG00000035569	cyp1d1	5	7	10	8	16
Phase_I_oxygenases	cyp2aa1	ENSDARG00000099003	cyp2aa1				3	10
Phase_I_oxygenases	cyp2aa11	ENSDARG00000103456	cyp2aa11			0.5	9	1
Phase_I_oxygenases	cyp2aa12	ENSDARG00000102805	cyp2aa12			2	4	3
Phase_I_oxygenases	cyp2aa2	ENSDARG00000104811	cyp2aa2			9	7	7
Phase_I_oxygenases	cyp2aa3	ENSDARG00000103347	cyp2aa3		0.6	8	70	16
Phase_I_oxygenases	cyp2aa4	ENSDARG00000098803	cyp2aa4		0.8	45	67	31
Phase_I_oxygenases	cyp2aa6	ENSDARG00000103590	cyp2aa6				5	8
Phase_I_oxygenases	cyp2aa7	ENSDARG00000103766	cyp2aa7				0.5	1
Phase_I_oxygenases	cyp2aa8	ENSDARG00000104540	cyp2aa8			31	33	7
Phase_I_oxygenases	cyp2aa9	ENSDARG00000098890	cyp2aa9		0.9	2	40	6
Phase_I_oxygenases	cyp2ad2	ENSDARG00000021172	cyp2ad2					3
Phase_I_oxygenases	cyp2ad3	ENSDARG00000022650	cyp2ad3	2	3	0.5	3	46
Phase_I_oxygenases	cyp2ad6	ENSDARG00000042956	cyp2ad6	0.4				2
Phase_I_oxygenases	cyp2ae1	ENSDARG00000013524	cyp2ae1		4	0.4	0.6	2
Phase_I_oxygenases	cyp2j20	ENSDARG00000094057	cyp2j20	0.5		0.5	1	3
Phase_I_oxygenases	cyp2k16	ENSDARG00000102981	cyp2k16			0.7	14	18
Phase_I_oxygenases	cyp2k17	ENSDARG00000104529	cyp2k17					0.5
Phase_I_oxygenases	cyp2k18	ENSDARG00000104593	cyp2k18			0.7		6
Phase_I_oxygenases	cyp2k19	ENSDARG00000101861	cyp2k19			0.3		5
Phase_I_oxygenases	cyp2k20							
Phase_I_oxygenases	cyp2k21	ENSDARG00000105151	cyp2k21					1
Phase_I_oxygenases	cyp2k22							
Phase_I_oxygenases	cyp2k6	ENSDARG00000009874	cyp2k6				0.5	
Phase_I_oxygenases	cyp2k6	ENSDARG00000098995	cyp2k6			0.3		
Phase_I_oxygenases	cyp2k8	ENSDARG00000101190	cyp2k8			16	7	5
Phase_I_oxygenases	cyp2n13	ENSDARG00000042953	cyp2n13					2
Phase_I_oxygenases	cyp2p10	ENSDARG00000042990	cyp2p10	31	36	7	21	11
Phase_I_oxygenases	cyp2p6	ENSDARG00000042978	cyp2p6		0.5	3	2	6
Phase_I_oxygenases	cyp2p7	ENSDARG00000042980	cyp2p7		1	25	5	2
Phase_I_oxygenases	cyp2p8	ENSDARG00000042982	cyp2p8	0.5	1	3	1	12
Phase_I_oxygenases	cyp2p9	ENSDARG00000022631	cyp2p9			2	3	10
Phase_I_oxygenases	cyp2r1	ENSDARG00000056587	cyp2r1	21	28	1	1	4
Phase_I_oxygenases	cyp2u1	ENSDARG00000026548	cyp2u1	0.5	3		0.4	2
Phase_I_oxygenases	cyp2v1	ENSDARG00000018485	cyp2v1	9	13	2	5	16
Phase_I_oxygenases	cyp2x10.2							
Phase_I_oxygenases	cyp2x10.2	ENSDARG00000006501	cyp2x10.2					3
Phase_I_oxygenases	cyp2x10.2	ENSDARG00000068283	cyp2x10.2					0.5
Phase_I_oxygenases	cyp2x12	ENSDARG00000092091	cyp2x12					0.4
Phase_I_oxygenases	cyp2x6							
Phase_I_oxygenases	cyp2x6	ENSDARG00000079653	cyp2x6			68	8	
Phase_I_oxygenases	cyp2x7							
Phase_I_oxygenases	cyp2x7	ENSDARG00000044002	cyp2x7	14	50	6	8	5
Phase_I_oxygenases	cyp2x8							
Phase_I_oxygenases	cyp2x8	ENSDARG00000043997	cyp2x8			1	0.4	
Phase_I_oxygenases	cyp2x9							
Phase_I_oxygenases	cyp2x9	ENSDARG00000070775	cyp2x9					5
Phase_I_oxygenases	cyp2y3	ENSDARG00000068493	cyp2y3	0.5		2		4
Phase_I_oxygenases	cyp2y3	ENSDARG00000101423	cyp2y3	0.7	2	79	65	47
Phase_I_oxygenases	cyp3a65	ENSDARG00000103295	cyp3a65				0.3	9
Phase_I_oxygenases	cyp3c1	ENSDARG00000015575	cyp3c1	31	22	3	12	32
Phase_I_oxygenases	cyp3c3	ENSDARG00000037873	cyp3c3	0.4	0.3	1	2	2
Phase_I_oxygenases	cyp3c3	ENSDARG00000037874	cyp3c3			0.6	2	0.5
Phase_I_oxygenases	cyp3c4	ENSDARG00000070021	cyp3c4			0.4	0.8	3
Phase_I_oxygenases	cyp4f3	ENSDARG00000053530	cyp4f3					
Phase_I_oxygenases	cyp4t8							
Phase_I_oxygenases	cyp4t8	ENSDARG00000004964	cyp4t8	0.4	0.5		1	5
Phase_I_oxygenases	cyp4v7							
Phase_I_oxygenases	cyp4v7	ENSDARG00000061585	cyp4v7	0.1	0.3	1	0.3	3
Phase_I_oxygenases	cyp4v8							
Phase_I_oxygenases	cyp4v8	ENSDARG00000062132	cyp4v8					16
Phase_I_oxygenases	fmo5							
Phase_I_oxygenases	fmo5	ENSDARG00000016357	fmo5	3	7	6	35	12
Phase_I_oxygenases	ptgs1	ENSDARG00000052148	ptgs1		2	0.4	61	13
Phase_I_oxygenases	ptgs2a	ENSDARG00000004539	ptgs2a			30	33	32
Phase_I_oxygenases	ptgs2b	ENSDARG00000010276	ptgs2b	0.3		21	9	10
Phase_I_reductases	akr1a1a							
Phase_I_reductases	akr1a1a	ENSDARG00000035257	akr1a1a					10
Phase_I_reductases	akr1a1b							
Phase_I_reductases	akr1a1b	ENSDARG00000052030	akr1a1b	10	46	33	32	27
Phase_I_reductases	akr1b1	ENSDARG00000006215	akr1b1.1			0.7	5	44
Phase_I_reductases	akr7a3	ENSDARG00000016649	akr7a3	17	36	17	15	28
Phase_I_reductases	ephx1	ENSDARG00000042854	ephx1	4	30	3	6	14
Phase_I_reductases	ephx2	ENSDARG00000040255	ephx2	5	13	16	6	20
Phase_I_reductases	ephx4							
Phase_I_reductases	ephx4							
Phase_I_reductases	ephx4	ENSDARG00000099515	ephx4	0.8	0.7		0.8	6
Phase_I_reductases	ephx5	ENSDARG00000103298	ephx5	9	48	32	11	13
Phase_I_reductases	hsd11b1la							
Phase_I_reductases	hsd11b1la	ENSDARG00000071377	hsd11b1la	1	2	6	12	30
Phase_I_reductases	hsd11b1lb							
Phase_I_reductases	hsd11b2	ENSDARG00000001975	hsd11b2				2	36
Phase_I_reductases	hsd17b1							
Phase_I_reductases	hsd17b10	ENSDARG00000017781	hsd17b10	90	134	154	32	57
Phase_I_reductases	hsd17b12a	ENSDARG00000015709	hsd17b12a	165	269	452	83	36
Phase_I_reductases	hsd17b12b	ENSDARG00000035872	hsd17b12b	58	73	10	18	31
Phase_I_reductases	hsd17b14	ENSDARG00000054842	hsd17b14	0.6	0.7	97	33	8
Phase_I_reductases	hsd17b2	ENSDARG00000045553	hsd17b2	1	2	5	16	2
Phase_I_reductases	hsd17b3							
Phase_I_reductases	hsd17b3							
Phase_I_reductases	hsd17b3	ENSDARG00000023287	hsd17b3				2	0.9
Phase_I_reductases	hsd17b4	ENSDARG00000101239	hsd17b4	12	18	1	8	22
Phase_I_reductases	hsd17b7	ENSDARG00000088140	hsd17b7		1	0.4	3	13
Phase_I_reductases	hsd17b8	ENSDARG00000001169	hsd17b8	7	14	4	0.4	6
Phase_I_reductases	hsd20b2							
Phase_I_reductases	hsd20b2	ENSDARG00000031336	hsd20b2			26	4	12
Phase_I_reductases	hsd3b1	ENSDARG00000069926	hsd3b1	3	1	1		1
Phase_I_reductases	hsd3b2							
Phase_I_reductases	hsd3b2	ENSDARG00000019747	hsd3b2	3	17	73	52	
Phase_I_reductases	hsd3b7							
Phase_I_reductases	hsd3b7							
Phase_I_reductases	hsd3b7	ENSDARG00000036966	hsd3b7	19	23	0.5	0.8	8
Phase_I_reductases	hsdl1	ENSDARG00000041736	hsdl1	8	11	2	5	4
Phase_I_reductases	hsdl2	ENSDARG00000002523	hsdl2	62	40	33	41	38
Phase_I_reductases	nqo1	ENSDARG00000010250	nqo1	26	16	105	74	80
