category	geneName	Gene_ID	Gene_Name	cleavage_2-cell	blastula_1k-cell	gastrula_50%-epiboly	segmentation_1-4_somites	larval_protruding_mouth
HLH-PAS	hif1aa	ENSDARG00000006181	hif1aa	7	5	2		7
HLH-PAS	hif1ab	ENSDARG00000034293	hif1ab	28	154	160	111	84
HLH-PAS	hif1al	ENSDARG00000100826	hif1al	54	47	161	141	164
HLH-PAS	hif1al2	ENSDARG00000044550	hif1al2		0.6			3
HLH-PAS	hif1an	ENSDARG00000031915	hif1an	128	134	31	28	20
HLH-PAS	ncoa1	ENSDARG00000018257	ncoa1	0.6	4	2	6	7
HLH-PAS	ncoa2	ENSDARG00000017929	ncoa2	16	46	20	39	25
HLH-PAS	ncoa3	ENSDARG00000077404	ncoa3	18	39	27	26	20
HLH-PAS	ncoa4	ENSDARG00000021439	ncoa4	285	169	74	55	58
HLH-PAS	ncoa5	ENSDARG00000016345	ncoa5	103	112	260	253	73
HLH-PAS	ncoa6	ENSDARG00000071272	ncoa6	53	63	24	33	17
HLH-PAS	npas1	ENSDARG00000015876	npas1					5
HLH-PAS	npas2							
HLH-PAS	npas2	ENSDARG00000016536	npas2		0.5	0.1	2	5
HLH-PAS	npas4a	ENSDARG00000055752	npas4a					7
HLH-PAS	npas4l							
HLH-PAS	per1a	ENSDARG00000056885	per1a				0.5	8
HLH-PAS	per1b	ENSDARG00000012499	per1b	2	9	3	32	43
HLH-PAS	per2	ENSDARG00000034503	per2	19	35	10	8	21
HLH-PAS	per3	ENSDARG00000010519	per3	3	12	6	11	13
HLH-PAS	sim1a	ENSDARG00000023316	sim1a				1	1
HLH-PAS	sim1b	ENSDARG00000013789	sim1b	0.2	2			4
Heat_response	CLPB	ENSDARG00000088463	CLPB	10	10	5	0.8	5
Heat_response	clpb	ENSDARG00000090232	clpb	23	24	8	3	15
Heat_response	clpxa	ENSDARG00000029063	clpxa	50	81	55	25	46
Heat_response	clpxb	ENSDARG00000067796	clpxb	3	13	6	10	22
Heat_response	cryaa							
Heat_response	cryaa	ENSDARG00000053502	cryaa					61
Heat_response	cryaba							
Heat_response	cryabb							
Heat_response	cryabb	ENSDARG00000101380	cryabb				0.3	0.3
Heat_response	dnaja1	ENSDARG00000030972	dnaja1	15	47	69	46	16
Heat_response	dnaja2a	ENSDARG00000104066	dnaja2a	97	547	601	469	149
Heat_response	dnaja2b	ENSDARG00000010745	dnaja2b	39	85	115	191	108
Heat_response	dnaja3a							
Heat_response	dnaja3a	ENSDARG00000058494	dnaja3a	31	143	12	29	21
Heat_response	dnaja3b	ENSDARG00000102295	dnaja3b	28	32	4	4	9
Heat_response	dnajb11	ENSDARG00000015088	dnajb11	117	225	44	68	63
Heat_response	dnajb12a	ENSDARG00000039363	dnajb12a	143	185	62	44	27
Heat_response	dnajb12b	ENSDARG00000087473	dnajb12b	75	31	12	10	15
Heat_response	dnajb13	ENSDARG00000043157	dnajb13				1	
Heat_response	dnajb14	ENSDARG00000069996	dnajb14			3	4	6
Heat_response	dnajb1a	ENSDARG00000099383	dnajb1a	32	43	6	13	13
Heat_response	dnajb1b	ENSDARG00000041394	dnajb1b	211	348	337	71	13
Heat_response	dnajb2	ENSDARG00000058644	dnajb2	8	5	2	3	4
Heat_response	dnajb4	ENSDARG00000038978	dnajb4				0.8	13
Heat_response	dnajb5							
Heat_response	dnajb5	ENSDARG00000052881	dnajb5			0.7	0.8	5
Heat_response	dnajb6a	ENSDARG00000004680	dnajb6a	256	210	157	47	75
Heat_response	dnajb6b							
Heat_response	dnajb6b	ENSDARG00000020953	dnajb6b	24	28	14	7	14
Heat_response	dnajb9a	ENSDARG00000052072	dnajb9a	7	17	3	4	6
Heat_response	dnajb9b	ENSDARG00000016886	dnajb9b	3	7	3	6	6
Heat_response	dnajc1	ENSDARG00000001940	dnajc1	352	515	215	93	32
Heat_response	dnajc10	ENSDARG00000074727	dnajc10	17	43	24	53	16
Heat_response	dnajc11a							
Heat_response	dnajc11a	ENSDARG00000011196	dnajc11a	70	107	78	83	31
Heat_response	dnajc11b	ENSDARG00000102696	dnajc11b	1	0.8		1	7
Heat_response	dnajc12	ENSDARG00000086691	dnajc12	2	1		3	7
Heat_response	dnajc14	ENSDARG00000105398	dnajc14	2	27	13	6	2
Heat_response	dnajc15	ENSDARG00000038309	dnajc15	17	38	22	8	18
Heat_response	dnajc16	ENSDARG00000059699	dnajc16	0.3	1		2	3
Heat_response	dnajc16l	ENSDARG00000060725	dnajc16l	29	17	4	11	13
Heat_response	dnajc17	ENSDARG00000104959	dnajc17	43	21	26	12	5
Heat_response	dnajc18	ENSDARG00000056005	dnajc18	139	119	10	16	26
Heat_response	dnajc19	ENSDARG00000044420	dnajc19		5	5	21	37
Heat_response	dnajc2	ENSDARG00000070477	dnajc2	70	38	17	32	8
Heat_response	dnajc21	ENSDARG00000105195	dnajc21	11	42	19	24	5
Heat_response	dnajc22	ENSDARG00000037067	dnajc22					4
Heat_response	dnajc24	ENSDARG00000023927	dnajc24	5	24	2	3	2
Heat_response	dnajc25							
Heat_response	dnajc25	ENSDARG00000067613	dnajc25	11	102	43	32	10
Heat_response	dnajc27	ENSDARG00000070916	dnajc27	7	11	5	5	8
Heat_response	dnajc28							
Heat_response	dnajc28	ENSDARG00000018181	dnajc28	11	8	0.8	4	7
Heat_response	dnajc30b	ENSDARG00000079415	dnajc30b	0.5	8	6	6	6
Heat_response	dnajc3a							
Heat_response	dnajc3a	ENSDARG00000041110	dnajc3a	5	21	1	13	22
Heat_response	dnajc3b	ENSDARG00000017874	dnajc3b	3	10	4	15	22
Heat_response	dnajc4	ENSDARG00000024090	dnajc4	9	5	4	4	9
Heat_response	dnajc5							
Heat_response	dnajc5aa	ENSDARG00000042948	dnajc5aa	122	81	76	19	92
Heat_response	dnajc5ab	ENSDARG00000004836	dnajc5ab	29	46	21	13	43
Heat_response	dnajc5b	ENSDARG00000058147	dnajc5b					2
Heat_response	dnajc5ga	ENSDARG00000041896	dnajc5ga	383	237	9	20	31
Heat_response	dnajc5gb							
