X3.3_con_rep1	X3.3_con_rep2	X3.3_con_rep3
zgc:112980	505.358301222803	624.770919254498	548.304107520114
gigfy2	505.076291295821	376.319174935486	422.100628956289
bcl9	503.967622124674	466.640930293215	434.646283067592
RBM26	502.756403907256	505.820378285455	495.550559931233
etv5a	497.752010210518	537.578988182761	502.906557027915
sf1	495.992724281529	491.065333331902	455.051449941101
EIF1B	495.062376559458	462.303269201043	452.325462875911
CHD1	494.621415620704	447.593761043597	454.644636038773
smarce1	494.284712875676	511.749607285643	479.367477569133
tnpo3	493.64947854441	566.572623762973	526.564568532341
brd3a	493.131036154875	454.820234558716	462.134014731451
zc3h13	492.263926888646	466.498211258126	433.475859224701
gspt1l	491.691931112702	497.935286702839	509.748479126727
ddx3	489.626707192358	455.179531277186	470.206938066988
thoc2	488.038336307327	507.94839224228	507.492662254038
pak4	487.815007308597	463.129040788847	478.46881875399
chd4a	487.185470036037	514.740044507175	480.617930290664
baz2a	486.460220406506	492.596925870475	425.303455427022
ahctf1	485.40054689522	293.195015946203	380.93461078879
supt16h	485.139046837179	547.664841679668	472.725627913662
uhrf1	483.657782724965	500.991252544243	502.407487438621
tbp	483.551245667966	517.722707096625	480.326713778111
cnot1	483.538711919961	452.86659325609	429.299902556775
chaf1a	483.23106478115	467.187372355757	470.158587284087
hnrnpa0b	479.390602789423	379.388468557548	385.034428697385
fbl	479.276089710967	469.6358101762	421.419271129874
rimkla	478.616357500031	525.16409220796	464.263119023791
thy1	478.501844421574	374.283345261701	278.575322184516
cstf3	477.709368126514	522.225855825642	507.197555326089
anp32e	477.468377837935	556.365708938205	532.944656634187
ccnt2b	475.535328285897	489.271070917502	475.304895252867
ENSDARG00000060312	475.481205084191	537.838325986109	507.615484517686
znf292b	474.937695198646	462.725873259584	440.569539106926
CCNJL	474.199911721631	510.971593773747	465.195123213259
si:dkeyp-114g9.1	473.887137140454	521.314563794201	455.732807866213
hn1l	472.481645431046	513.195124086092	496.323061925557
baz1b	472.062333693392	398.956534795515	429.599455560953
uba1	469.998249204684	520.508228633823	459.076796566342
ctnna1	469.228561641839	539.731991919292	477.490131060206
slc25a25a	468.812668298574	443.237774112974	454.270055893016
ZNF281 (1 of 2)	468.469128963725	461.817357802431	487.968925650285
sart3	468.060072210281	378.497723644359	409.922330018175
trim71	466.818658955009	409.909809411217	417.382253653228
h3f3d	466.199946382477	509.696562464234	431.188364256274
pcm1	462.926922539626	564.9010887636	515.572810463448
GTSF1	462.721254731267	447.649293751586	421.985031467817
npm1a	461.674684683804	472.947226555837	479.798189032496
ppp1r3b	460.184874834315	446.370375176958	436.775387359933
gltscr1	459.351379000329	437.934398972197	446.184905847849
CKAP2	458.737224054866	533.833305847387	545.533104130497
prc1a	457.819979796617	494.188493778491	477.070534688719
TMEM131	457.736231471833	504.194380082189	503.717406232322
FP360035.1	457.642797878657	508.057791774797	483.44450943575
ptp4a2	456.843484993776	489.397130201304	456.398048764995
pds5a	456.097155779485	469.60415655709	477.470123815872
tlk2	455.483000933501	479.919360121698	418.837224993025
nolc1	455.459642485467	424.739823500187	461.258141958284
crebbpb	455.275054261868	397.191704822275	396.513029843335
ggps1	454.665457042951	395.128108794496	382.619665389081
fam171a1	454.362367630688	470.968040179017	490.08302453405
plcd1b	454.092891551189	474.66374305683	473.6009449273
apc	454.0114219902	450.473688143636	454.139453094664
supt6h	453.230340110986	450.666386738138	424.63432421154
gpt2	452.256693887237	478.484394527619	465.773110260833
eif2c4	451.612344003398	481.219381210917	433.819872695081
nop58	451.20841469232	462.785293232688	466.255507162965
NUP153	450.873990810565	621.59444737972	461.842798120201
akap1b	450.645534269991	412.930234266545	396.969306146318
abcf2a	450.034228003098	476.480773767432	465.150106888833
serbp1	450.009730222907	362.314932434321	389.237061723989
UBN2 (1 of 2)	449.820014457463	373.302637345273	388.415097427706
ybx1	449.136354082676	512.279944789536	480.995844993593
hectd1	448.971136196902	400.499233936796	383.637256151172
aldh18a1	447.36168582659	481.251590226366	419.676973495527
prpf8	446.397155055936	506.164125841614	475.984585800697
tia1l	445.822310700899	526.009300325042	462.516931171441
aif1l	444.862337557313	459.787636775415	479.524756726163
KIF22	444.609383236548	478.712078711857	470.71489980874
fubp1	444.526204627582	489.90580999797	443.324425568909
setd8b	443.66707148229	458.6686523835	500.838030228105
otud4	443.657956029195	421.056893210396	411.198347678023
pom121	442.683170274331	450.206575810058	419.724768617596
ctssb.1	442.431355385202	427.368742723447	385.47625535132
sec24c	441.075998767292	514.600657340862	470.846058366621
srrm1	440.245351512399	451.487715766339	423.426664677624
dvr1	438.437639639367	514.634532341624	413.939896010015
nme2b.2	438.280397775051	485.212739452443	349.430424652149
rcor1	436.952387516425	483.620616249939	472.881239792106
setd2	436.290946158033	407.117624034616	426.625045072128
cdk12	434.800566592725	447.324427328366	390.000671565855
ppp1caa	433.58877865949	500.177142751784	419.498575575107
ppp4r2b	433.309617411078	496.695240881212	484.006935315219
btaf1	433.194534517324	374.473267180062	373.16346339685
npc2	432.254501626339	475.056914776062	450.144673144801
dnaja2	431.466583057826	369.199879571231	378.80550649645
znf865	430.868949970575	394.10963861219	398.59156031466
ASXL1	430.576115443043	491.698961721543	415.055299856965
pif1	430.277014041508	535.564816216204	510.620461484496
nap1l1	429.718691445206	391.770044927925	370.719244932226
papd7	429.128464763073	541.365209358301	489.006523558014
lztr1	428.790622586408	451.356658526595	408.940863526748
rcc2	426.751035877892	469.493646333747	400.887947435545
MAF1 (2 of 2)	425.949444129737	478.538261250295	432.757821466789
STT3B	424.904013513911	451.306123672695	421.090263068071
osbpl7	424.594087511827	441.206387100643	426.177660822906
naa15a	424.189018769111	440.550545607435	413.238530939265
CEP350	422.674141423612	353.200901632786	399.44575846621
znf395a	421.576296853014	445.562374031266	455.611652881152
waca	421.133057050987	350.412048226812	393.584747197993
med13a	420.883521124611	490.960376460839	427.400881623624
hsp90b1	420.672725774408	399.012067503504	380.49056109674
pygo2	420.120670052108	360.067523033096	371.572331663415
tpm3	419.465495567719	431.750274728263	399.879248825912
nup50	418.98351509004	407.73736924726	390.525861754299
RNF19A	418.95559891546	398.742733788274	386.963460645081
naa40	418.363093270574	443.476009503582	400.080988547839
dgcr8	418.122672797293	505.729859885877	434.577924941661
srrt	417.60024229755	446.547524507297	401.951110182894
ddx39aa	416.189053429957	463.827087107535	422.911478061999
ppiaa	415.635858276021	343.60373610878	345.499556850686
tnikb	415.584014037067	367.989266190763	341.339161350864
mll4a	415.451269952943	529.973226227259	468.977604010152
zfr	413.292612538901	403.372497095581	385.978103836954
pcna	412.644274644334	390.059636971849	362.348435871095
rlf	411.540163199734	410.720587233049	435.242610080914
wasf2	411.281511720784	447.692609369744	432.975678116349
ncor1	408.891549087598	346.991787710997	349.318161819546
si:ch211-51e12.7	408.761083866748	402.180764746201	395.175878931428
dag1	407.675773143634	413.58163320015	377.368319362872
huwe1	407.269564969282	294.194049701082	291.173773253646
srsf11	406.519247744262	417.457817378929	407.799339080649
ilf2	405.027728747317	458.737512974	456.949359453891
cad	405.006079546218	421.520036210954	466.086557154531
BX539313.4	403.749853679668	370.449921202889	392.881159089129
dnajc1	403.219447158467	410.184696376877	406.047593534317
pask	400.722947567761	434.499699883047	394.137169504642
pgrmc2	400.716110878461	419.613597689749	383.344372261336
snrpb	400.67737020281	402.425108783576	361.071862550416
pnn	399.737337212346	401.809250836047	421.339242152537
wee2	398.825790112282	451.335000717517	424.49482926073
KDM3B	398.741471972201	358.509830125842	330.439103110712
dido1	398.629807472836	314.471824053082	329.801094330136
pum1	398.191125397356	373.236553329062	347.967672777648
smad2	397.556460781909	431.178287693379	393.984892084674
med14	396.946863562992	460.3618450901	411.3739668008
ell	396.238705408013	397.390511961692	407.728757916603
si:dkey-204j6.1	395.805150874378	447.495468113789	406.707276936509
dab2	394.886197369195	369.294285235924	318.614821314493
SF3B2	394.594502372778	381.413191730475	359.496291985085
AL935186.6	393.098425649286	560.402937990524	1707.79620519269
actb1	392.926940790032	222.410783694454	270.23674707735
smc3	392.851738202524	412.083360266001	419.963188271019
odc1	392.521872047316	425.068577290373	390.0556914631
TAOK2 (1 of 2)	392.470027808363	343.301082789126	394.933013201776
tsc22d1	392.046728159458	420.151154531235	377.860164078295
PRR12 (1 of 2)	391.977792445953	339.20998691228	397.704572449618
SEC24A	391.942469965733	373.782439995266	331.648985682743
hspa9	390.902736508091	342.505298835118	380.767327960246
rtkn2	390.685674383364	462.457094838841	432.294320289934
h2afv	389.949600053805	406.803308817766	333.301250668237
zc3h7a	387.062274615843	402.359580163704	388.913611257472
nnt	386.849770217663	400.318752533979	393.788154198505
axin1	385.941071597212	376.270861463238	369.893390319243
cbx5	384.107152796534	393.498778620602	400.792912950936
ssrp1a	383.909461009633	391.404084268201	371.8313143207
mta2	383.873568813594	404.901312958014	387.62592274622
zmym2	383.80406338427	341.611221951301	366.755587417269
tia1	382.351854878274	405.532720067855	384.530357272333
6-Sep	382.172963812859	433.877178096114	412.039763459111
zgc:55733	381.349153048308	416.69146576423	374.407802862263
crk	380.004051315129	405.484961890095	404.976094492735
smc1al	377.54743193119	388.178743626688	398.607677242294
smc2	377.242063556174	455.822044887884	410.863226261405
setd1a	377.150339209932	374.954180520881	368.850790575757
pfn2l	376.230246273113	332.252847214242	351.53229692498
rad21a	375.507275506855	380.430817828733	375.244772567122
dnajc5ga	375.06688428392	411.505264584349	305.899105577002
ube2g1a	374.378096566246	339.523746834642	362.419017035142
zmynd11	374.210030001901	336.089047847343	279.447860400511
plcg1	373.93086875349	388.100997815133	386.302665723832
oclna	373.880733661991	467.822111334374	400.558383614214
cnp	373.55941324406	171.084107559181	332.671578181895
epb41l5	372.817641756316	385.828043339715	387.823216391917
TNRC18	372.301478230054	375.881577009121	348.639582790773
MEPCE (2 of 2)	372.003516260157	326.542417075385	318.573695306767
casc3	370.914217526314	396.859619163312	369.717771196465
h2afvl	370.480093177381	368.809484528138	344.809862631341
nup98	369.821500398082	442.42533040768	452.351583376363
MAP1LC3C	369.31274317746	416.885274947706	373.191251175888
zc3h7b	369.127585138563	372.44965459611	349.704412816708
cdc42bpb	369.070043741426	376.280301978782	343.262079943745
PCNT	368.810822546658	442.849045055195	397.415578876483
lsm14aa	368.798288798653	415.110449062583	386.376025685521
cbx3a	368.705424921296	413.511661918824	358.4981527078
ptmab	367.761403920103	382.396676323043	333.329594305501
erf	367.506170736065	365.021597367285	358.877178929787
sf3a1	367.381402673398	444.426729786214	368.762425205491
TRRAP	367.002540957808	321.021353662253	338.147449972007
CACHD1	366.999692378716	389.617596485882	353.148993498036
itsn2b	366.785478733602	361.84457019802	364.545898289368
SRRM2	366.692614955723	353.336956828471	389.186487804277
ncaph	366.492644305548	449.126464272996	463.686243495275
sumo3a	366.401489575646	394.117968538759	411.495677545391
gmps	366.202658357108	366.303292719905	342.35063875814
gnaia	366.122897943574	433.07473020085	412.917303510863
SCAF1	365.769103723994	335.210520125838	374.094355968565
eif5a2	365.263764798282	348.8799002919	337.920145509157
atad5a	364.612008608803	355.62768164415	359.266764385424
myef2	363.916384201829	351.044565925628	321.906013056795
ilf3b	362.978630174119	383.923826200162	358.75380090661
rnf145b	362.791762987767	405.097343523143	363.62556505
dkc1	362.590652905955	235.358793849288	336.617451490631
seta	362.440817347279	339.020620390257	355.797730383533
mapkapk2a	361.585102496897	400.780229447372	408.170584570539
larp1	361.399374742182	381.957412411364	372.250910692187
hnrnpc	361.131607810138	504.35764623553	429.52387256115
micall2b	360.953856076881	558.548145014045	511.348502913923
ncapg	360.951577213607	397.362745607697	378.98946191346
srsf2a	360.752176279251	425.219626252031	376.824233449152
gro2	360.724260204149	339.31050122374	308.470592282806
zc3h15	360.540241596889	370.190028105054	355.752158398275
TPP2	360.314633734886	384.628536460104	338.010178059312
tle2	360.067946288124	379.533408974289	362.582965306514
tlk1a	359.54893418277	350.357626107797	357.600049750882
med13b	358.828811896125	484.7856928343	417.133274568761
HNRNPU (2 of 2)	357.610187373069	372.881699272046	366.886190215621
glula	357.495104578794	343.147812445816	253.351743786276
rpl12	356.160827446165	362.644241417143	299.097198065554
cnot8	355.523314152146	408.256044853957	404.395884308351
ubn2	355.357526550555	315.862918836367	297.783388955153
aktip	355.310240038148	354.532576341115	365.893608533622
atp2b4	355.161543911108	379.295173583681	362.218388832272
skiv2l2	355.131918688552	415.386446719069	369.083652633893
trpc4apa	354.880673515241	373.970695928313	364.031267531968
NOTCH1 (2 of 2)	353.378899633565	307.060981971881	297.655564855748
vasa	353.252422423443	382.38668041116	326.940614051197
nop56	353.147594513899	327.717489571628	312.338659652321
rrm1	353.111132602043	425.989309837358	321.271894592919
tubb4b	353.051312341632	443.92304794549	347.437480753447
puf60b	352.880967013492	376.840071821983	339.590194700871
sec61al1	352.524893930639	261.891219021035	272.734318160633
gar1	351.575745487081	323.372053847375	261.785909038884
crebbpa	350.399280034065	280.776232706287	297.086469861936
sin3b	350.034091398638	323.759672316179	319.591285970161
ddi2	349.995920438805	332.969774665869	334.496127831691
CCNA2 (2 of 2)	349.993641476052	387.474033264894	348.144403419483
syncripl	349.092349360198	361.04434368441	354.572286643398
smarcd1	349.074688070349	369.352039223715	363.354911442614
khdrbs1b	348.904912458028	335.861918957592	355.595434902078
plk3	348.750519172804	327.819114472064	277.496598269063
st14a	348.523202063867	433.187461602143	367.747613241043
fam76b	348.505540873496	384.635755797698	381.039648846218
zgc:56231	348.038942722915	611.737388757878	484.810559645753
lmo7b	348.004759674332	393.939708415742	355.53763620719
slc37a2	347.682299924242	367.393955361486	349.401525354054
zc3h18	347.01117329746	387.771133435971	344.108497560591
ATP5B	346.990663527997	326.473556586737	285.093793816811
stip1	346.980978359084	247.228913746861	298.343036036978
ssbp3b	346.808354068193	337.545671148649	347.174607779461
calm1a	346.016447488951	323.207677003207	368.258909539968
patl1	345.858066192998	381.551468205961	354.18825868435
bora	345.70880035014	381.856898201755	369.943964140258
TCF20	345.586880966044	317.792125653774	316.862520107328
ezh2	345.568080244558	311.775710326487	343.845624586605
kat7	344.86618906306	299.829510602672	341.817112176767
abca5	344.412694276823	323.502000396293	340.526089108343
tmem48	344.325527657128	395.206965195026	362.334541981576
wdr5	344.132963312592	339.440447772658	354.201041153508
dip2ba	343.265284430024	353.101498012152	347.848740830701
kdm5c	343.239077402899	314.636200897249	305.001558280915
pbx4	342.171997585974	251.050675806625	295.253028158378
gnb2l1	341.823900524578	286.467226315867	320.038114459854
aspm	341.577213077815	299.433006912813	336.397371802957
rtn4a	340.445185558113	291.388536441971	310.456311406333
chd4b	339.698856343822	323.197681091325	305.77795059194
vcp	339.053936744165	281.75027668146	278.323564401103
hspd1	338.93885394989	321.507264959013	306.384837036305
qk	338.31273497224	319.754652177457	311.275496904972
heatr5a	338.016482149797	339.796967814988	320.952334443103
ywhae1	335.91992385944	327.622528612448	319.694100989475
lemd3	335.808259260597	377.914630108617	334.748441374634
WDR1	335.514285301428	357.259233097845	303.684970471567
ppp4cb	335.211195889164	366.551523920544	333.229557985134
tram1	335.17701294006	338.511385299105	340.197081145236
EIF2C2	334.607865643729	382.012389824867	388.213913465308
cdc5l	334.099108423107	289.774755430388	302.029370928901
sppl3	333.203513465436	372.504076715125	337.728409360049
suv420h2	332.747170100107	337.140282339584	350.018415371238
ck2a1	332.405340012192	325.648895587908	326.812789951792
drap1	332.24354032185	393.523768298457	372.248687654073
lbr	332.103959747384	298.967642632453	312.792157256357
aco2	331.423147951688	381.32989266849	320.478829594733
mlec	330.736638997808	392.509185483118	334.935731447512
cited4b	329.68152321307	223.079397775685	217.473751675178
micall2a	329.449078761246	341.792813943094	352.624914828649
xpo4	328.739211458812	301.498268925906	240.407611968181
arcn1a	328.446376931279	329.44233599919	310.046162848136
suco	328.319330005339	347.419389623628	323.60551740483
hnrnpk	328.143857234834	362.110571942623	305.521190972769
cbx1a	327.876090302791	354.02667322059	336.398483322014
fam208ab	327.793481310164	282.87814629443	291.793442068473
hsd17b12a	327.734230765572	386.982568717705	349.569363942127
pik3c2b	327.715999759904	269.251526350187	189.444157135715
ywhaqa	327.208951686737	284.631869766813	289.593200852558
znf346	327.157107447783	323.667487931287	308.293305881443
ran	326.852308888064	350.343187636313	334.27049054873
fxr2	325.694074341237	312.779186640969	291.223791315133
llgl2	325.606907622064	308.97130765635	295.374738902968
mll2	325.393263792247	285.001717691653	295.319163246195
phc2a	325.205257174259	319.24652777713	346.834484625782
usp37	325.066246315611	487.009778441131	381.218046766639
elavl1	325.008135202655	353.286421974572	455.440479735907
ppp6r3	324.963697269341	316.40880550257	328.96857060281
usp1	324.899319182903	296.992899018939	335.306421177873
WAPAL (1 of 2)	324.68795421636	397.911408950041	340.2621046153
fbxw11b	324.126783040966	319.308169030036	282.50896888232
entpd4	323.578715329395	320.267774533724	309.293112338617
setdb1b	323.46705083003	326.711236581007	319.16390906397
prrc2c	322.762310969961	273.952926822282	281.072337508271
