X3.3_bap_rep1	X3.3_bap_rep2	X3.3_bap_rep3
si:ch211-288g17.3	668.121938266112	709.071871602462	628.582613929377
ESPL1	719.207463628126	767.599433821507	673.758673005765
mapk6	605.110178392708	722.226655766417	672.586934171935
xpo6	687.498351929221	720.191687408562	605.908362072634
nono	591.96455320612	660.129712241516	617.563847202847
atp1a1	686.179823821481	679.506353801945	547.843175726091
lmnb1	693.540779130948	658.080709632922	639.760560207816
eif3s10	581.272579857339	619.888797041798	562.492122012835
hcfc1b	560.56276759908	571.068268020649	592.700875600638
si:ch211-198a12.6	573.812487115331	654.408410354933	615.808449815971
cdt1	620.486396066414	703.411384835759	694.522769553438
atp2b1a	550.921651137213	600.451340361488	557.645987027582
fth1a	332.10003050324	497.8748990742	516.639549473245
cx43.4	636.85894506463	702.793877203033	537.505344092476
sox11b	533.374323435913	590.341991608945	554.572936144109
igf2bp3	535.094358068962	533.634205769712	498.26756891218
cdc27	628.090238111101	531.440182336732	457.327456195644
glulb	573.510117920586	599.674777653637	629.573064866682
caprin1b	640.99793345959	578.085400392601	497.909414748843
mia3	642.038876552261	605.891957033222	549.297900528004
caprin2	614.711639983536	406.057593018905	359.676068247677
siva1	857.464544080166	727.017018187023	745.553101169262
tkt	578.194362143534	503.858174008041	429.958732223265
TNRC6A	625.6613707589	480.673568579086	534.056452428788
myh9a	520.441843703794	388.082974517795	378.774969066333
atp2a2b	608.679126474074	565.178554925128	613.739114758942
chtopa	578.680135613974	639.195267348533	587.324142011
ddx19	626.449513424085	678.46781824691	599.912596500143
bsg	567.12566644912	533.161718861335	496.273402050405
ddit4	672.15683233141	484.921272737585	618.253625555189
sumo3b	567.502388794754	585.83699262015	586.077234981917
llgl1	602.418596818779	531.220312241763	502.689224896295
tprb	592.613903465747	528.338609822327	471.109757863234
smad5	575.512694261871	600.652498188829	550.421001140912
ewsr1b	494.771193831687	563.873368205909	508.764580195727
smarca5	620.79372215828	602.720213165087	578.025399437588
atp5a1	347.189245281696	440.255353808294	372.818114168605
brd4	552.007206100021	520.708647934575	565.63149773411
rac1	604.232811987247	618.929788974306	599.660562136103
usp10	574.337915558787	495.877355451673	547.210878952123
hyou1	756.32947975564	538.083067655515	529.754181133109
usp7	604.009752738535	528.745603493898	462.571540207704
mcm7	431.649391311284	475.948699395286	362.680141335127
lsm14b	547.848390320529	417.129692312472	475.42971577579
ctnnb1	511.658266160879	620.459523805382	457.818260034583
CCNO	572.201503607089	423.230387240862	474.801840631536
setx	570.496339563427	581.112123536387	644.58900857619
ctnnd1	582.819124008935	599.412804706416	554.294371805739
ADNP (2 of 2)	603.994882149149	493.496208542127	526.840309801544
smarcc1a	565.73774218959	552.912607474933	515.229041262541
anp32b	516.927421286809	574.263402273337	458.340015379541
rasal2	502.240208845746	477.183714760774	543.850420372827
cldn7b	566.629979286414	528.240369967119	502.189577797929
acin1b	406.883370574851	537.638649348653	417.26990604365
btg2	549.746872434129	470.901042244421	532.482342840411
mknk2a	704.763137922284	554.839979843766	621.331098068376
cldng	693.139272503662	388.992394886005	522.551303493031
tatdn2	590.636111508092	492.275227427377	486.161074806499
zgc:112980	591.107014389145	486.006589161762	540.162759332264
gigfy2	381.288560780001	472.009749153187	432.445913689824
bcl9	529.567445516448	518.514624501595	508.676147111334
RBM26	510.319910668608	535.40252306342	465.697650941814
etv5a	488.542388093619	403.495871936466	496.459111576643
sf1	467.722037682208	496.61181530727	507.243530556013
EIF1B	500.346683629268	440.216525657896	447.060371029544
CHD1	531.322178327369	484.589128436633	477.81741003466
smarce1	525.765524494104	537.7509234546	498.771637640259
tnpo3	560.552853906815	576.88780976244	507.146254114168
brd3a	479.238338902391	533.741801758733	501.406944633455
zc3h13	507.439967819885	504.035941350793	456.447546687349
gspt1l	534.69780823682	510.575908697443	476.11507249842
ddx3	540.799718000049	549.698760854581	431.06768346425
thoc2	576.439629434591	573.72074401123	506.058526735017
pak4	531.738555544042	630.915051109616	493.187086179766
chd4a	533.87496749574	541.965880894659	500.350168858348
baz2a	572.900422633975	595.899560503552	577.481535748013
ahctf1	278.270380743346	309.412499907713	460.347447228481
supt16h	491.198775983522	503.568132559342	449.138549345999
uhrf1	552.711082024029	592.334857214584	523.395839865594
tbp	485.714492562693	533.091547507605	532.606149256587
cnot1	529.160981992041	438.378972653849	446.047811845647
chaf1a	534.112897333839	512.330191840449	443.209108611309
hnrnpa0b	352.595705784838	993.022472787199	444.022693379828
fbl	426.967129826789	449.805670989528	485.621632844663
rimkla	499.380093585509	488.598250132499	492.709547327992
thy1	335.450380420931	353.04970718746	173.954136508482
cstf3	506.498162159756	534.321884756168	507.690117803743
anp32e	515.063637351081	644.481507062068	552.251566723041
ccnt2b	494.36274746685	492.686899215873	527.286897049274
ENSDARG00000060312	587.08699101521	476.042261233606	562.655723292482
znf292b	506.066914251719	518.753206964227	509.105047742186
CCNJL	534.62841208503	516.11944334131	509.976113893028
si:dkeyp-114g9.1	504.97640239179	510.954833867536	475.761339964797
hn1l	564.840548399598	484.607840804297	443.982898418332
baz1b	465.423535969668	521.709758754283	495.468660639338
uba1	535.099314966083	427.093084697272	394.906496608433
ctnna1	534.167422998219	536.843374273138	465.812614000537
slc25a25a	486.619121698367	490.754848730115	433.843157011388
ZNF281 (1 of 2)	530.677784862886	574.445847733014	500.801177735792
sart3	358.668369977424	398.991340719349	470.526099310188
trim71	496.985924309203	457.151672960577	456.252993803659
h3f3d	491.409442989431	480.013958094107	430.787350552414
pcm1	629.215448148903	513.644734593445	591.263837415603
GTSF1	530.707526143637	424.685272701319	453.989105960965
npm1a	561.400479031524	518.608186239878	484.025415009695
ppp1r3b	518.954782011723	391.748724492111	452.052420579539
gltscr1	499.414791661404	431.951747184824	509.936319029558
CKAP2	651.461890764515	442.61685280682	579.679098752905
prc1a	484.966004768548	487.400659502339	503.109282169694
TMEM131	543.228585454227	478.573106984426	505.054810810547
FP360035.1	518.642499124713	559.475965306172	523.263190189991
ptp4a2	492.901461578623	485.693157228474	463.230366956003
pds5a	507.092986755003	482.250084279304	485.519934675079
tlk2	427.038013108902	373.990233612438	442.395523940816
nolc1	494.521863069023	495.20838883288	527.132139127079
crebbpb	466.790145714344	447.470369305732	463.699062450325
ggps1	431.924993383947	485.739938197652	514.548106169624
fam171a1	486.756922785686	515.001380198694	456.752640902025
plcd1b	513.893815545119	523.426617161961	496.021367686365
apc	522.875667953116	519.337968078587	506.757148346787
supt6h	462.281870421409	500.822094730441	434.986597199397
gpt2	486.431751945765	521.466498174725	486.806636567633
eif2c4	459.564513043636	514.580352276384	494.009514207711
nop58	478.527523444786	489.987642256114	505.642891091331
NUP153	472.191649320364	461.064893859698	422.950849659256
akap1b	322.334496515094	364.746799060818	318.758063777733
abcf2a	435.963357216043	464.372302218332	479.07316032317
serbp1	418.753096785384	414.140861775728	397.301707647617
UBN2 (1 of 2)	366.516090177546	436.094194312727	447.789944245357
ybx1	516.020313702574	628.468410963265	507.380601861329
hectd1	418.957319967802	400.576277010024	367.678381186326
aldh18a1	509.516897312059	334.967960469007	307.493895180745
prpf8	594.517342476468	595.36158035837	521.680237342188
tia1l	519.832148417184	438.769125144504	464.433057393877
aif1l	510.716460398772	480.940219643233	430.822723786172
KIF22	457.511376514877	528.633329387951	499.96990644842
fubp1	431.744563266919	483.817243845707	473.661053401749
setd8b	476.524451393394	503.820749272713	521.98090992715
otud4	488.239523188767	468.398264995078	439.720864276528
pom121	455.095892723717	353.199406028734	416.532373855143
ctssb.1	411.24987930356	274.696406884161	296.932769923266
sec24c	557.340800684574	441.453880081847	505.399699986718
srrm1	468.995458107725	507.586610288985	474.545384539757
dvr1	447.668515319151	349.434480555818	388.694069905659
nme2b.2	420.173736382356	304.044393648171	313.918119191709
rcor1	511.593826804233	413.73761057769	437.895604708871
setd2	502.309605099513	468.72105306218	547.35679361489
cdk12	469.381102827386	422.555806861752	440.852366054509
ppp1caa	459.168458921602	431.364647112038	425.53707623915
ppp4r2b	523.604328260753	508.363172996836	490.485454348769
btaf1	360.487046434883	397.205246601332	496.180547238273
npc2	493.834344966702	472.234297365081	440.561421015706
dnaja2	364.268644260611	467.181494225576	419.471448583902
znf865	424.318672992675	463.724854797344	446.503242352803
ASXL1	445.837942430973	412.613933774793	358.543239990585
pif1	535.956853783058	433.821111263917	525.522656402971
nap1l1	334.335084177372	349.246889207538	286.996866753793
papd7	560.443802680031	384.181916682665	520.225512540275
lztr1	450.815137866508	409.129693616762	420.970389879
rcc2	470.290688860181	409.527331054482	371.38284465506
MAF1 (2 of 2)	479.234373425485	431.41142798118	461.483812828554
STT3B	457.068232176121	443.915490122329	422.361885091739
osbpl7	481.459513407351	425.464174367596	414.398040439424
naa15a	447.424637265693	440.954260215349	431.534610385106
CEP350	470.111250061392	444.492298317872	457.146168299119
znf395a	489.555077137838	601.452451281233	442.324777473301
waca	362.762746502246	386.217820783949	360.615228005837
med13a	483.529007553843	421.194951011293	500.615468209553
hsp90b1	380.122704450944	263.297309278282	388.855460419462
pygo2	364.234937502954	354.103212636626	390.780649387188
tpm3	471.192839649271	427.40511321549	392.908350211298
nup50	388.680744296587	277.460221437333	312.278126957911
RNF19A	382.418232004816	486.773795635763	392.28180164418
naa40	437.902485620898	429.857367022122	403.891301511692
dgcr8	527.778014629632	385.365473062087	499.686920480336
srrt	463.916151182958	471.074131470248	394.500146416553
ddx39aa	440.154888434954	471.878762679576	435.517195901807
ppiaa	403.043281607836	368.939301759718	379.058839419174
tnikb	402.681925663674	392.61417082132	388.51057124329
mll4a	574.952567742519	508.138624784942	573.586056836594
zfr	398.570695811011	396.875909230557	418.483208412441
pcna	328.994550059222	339.554826003809	356.341255257954
rlf	509.383061803623	492.869344675551	418.568988538612
wasf2	446.601796422636	501.514451733786	448.811346786706
ncor1	393.920653953851	431.689306465925	411.507161837234
si:ch211-51e12.7	407.538669049837	462.327509854949	471.282202500332
dag1	385.904895879504	462.174536411856	317.770265896676
huwe1	363.911253793355	369.094146489595	308.120886038268
srsf11	446.703412303738	454.366339209601	376.12905014222
ilf2	517.794874000003	511.998047539497	455.010508502314
cad	553.12250234358	355.490265801815	385.467145386724
BX539313.4	453.18006157217	428.941397350239	400.664376992757
dnajc1	451.893257585611	410.609372876841	400.336290146732
pask	407.737439625027	372.225190920548	382.052300477681
pgrmc2	424.717701171401	442.662698032569	411.481958342015
snrpb	391.792668768049	413.302080532927	369.455886917819
pnn	404.222025889803	516.97085541978	474.23144696763
wee2	518.915127038707	402.242144303351	431.836167354827
KDM3B	385.944055142413	278.528696880668	267.039280288677
dido1	387.672516541359	397.93689962679	380.079357575765
pum1	374.711287050682	390.828544474981	380.0948334268
smad2	395.738834701202	345.669555182938	429.200860361631
med14	430.988640229069	390.599786017877	410.424298280176
ell	458.853201875923	375.476930047905	418.826328917122
si:dkey-204j6.1	493.345597337594	397.23846109145	413.355414036241
dab2	216.775919450895	208.259600877548	275.302913239222
SF3B2	401.384712172765	384.4555849222	393.181608633222
AL935186.6	753.865914225568	634.540569518464	819.713115247012
actb1	115.284951789436	447.053083856955	296.461421372696
smc3	444.067347712427	463.450718886169	437.185044589047
odc1	394.513991622729	429.156589428319	360.007250244304
TAOK2 (1 of 2)	410.861756237315	436.241086323861	396.94178481279
tsc22d1	426.424847953516	401.153085305604	406.351510909567
PRR12 (1 of 2)	406.586453885358	457.631177044341	298.870781685778
SEC24A	351.349052481403	315.68067040165	399.533759599534
hspa9	439.06586360337	373.704870280664	429.738975844356
rtkn2	447.750303713744	415.369795509184	451.765012981742
h2afv	337.195695147717	265.553551246212	386.900204134424
zc3h7a	429.673086381974	431.037180928011	387.606784718888
nnt	421.774806198332	436.741641733715	385.983152622857
axin1	420.142012465129	415.318336523118	405.702411805452
cbx5	404.829242727853	453.100916384209	378.876667137891
ssrp1a	405.497429053774	394.561191101173	369.134874757755
mta2	393.128050101652	412.66165018729	413.378848761945
zmym2	375.911841455633	379.4406742897	390.989793737155
tia1	392.689862558041	437.178575193548	387.237134337902
6-Sep	431.253832899358	431.827777786564	387.853955260835
zgc:55733	414.282989437119	388.187763676677	427.15540232071
crk	411.964660340048	345.120347617158	392.411798263534
smc1al	392.426652728182	451.619365837345	378.110394209209
smc2	448.456657984336	414.313483229877	429.535579701239
setd1a	418.618269958709	362.343665081754	351.830723997067
pfn2l	416.471448502661	340.328581781482	333.800095269193
rad21a	413.981115952482	468.038052192648	327.158768033593
dnajc5ga	375.682338281454	298.232336753409	403.858581236158
ube2g1a	386.548297923772	358.238174817464	329.513299824549
zmynd11	304.230016351134	300.167661840986	299.008737375852
plcg1	439.257694542986	430.243777139281	368.44200125481
oclna	412.898535046365	361.587686028351	417.81774917056
cnp	356.496268631592	258.721203292364	121.517718311667
epb41l5	427.145577205363	446.252195121159	406.840103884636
TNRC18	404.246314563325	353.946964491679	359.939156735013
MEPCE (2 of 2)	328.725391912027	288.108018206772	252.614954202934
casc3	423.952360151392	411.473415790979	400.473361452047
h2afvl	369.542756283662	399.753869076424	350.376441387532
nup98	519.554563606068	431.737958521814	405.363712930485
MAP1LC3C	406.938887557469	300.427763601459	343.291622054805
zc3h7b	383.187042791623	393.536222025198	358.581708374944
cdc42bpb	385.736857903303	390.983389204859	403.943477075596
PCNT	384.129839973945	425.363127682248	425.256301036911
lsm14aa	466.604758700196	373.070521467022	348.873962651429
cbx3a	406.648414793443	372.889479522452	396.531455183575
ptmab	345.813217554862	389.926141282159	402.936223808145
erf	383.717428132201	413.959351959443	395.210264343997
sf3a1	404.335042593493	400.083206547236	383.982353365524
TRRAP	432.692317244385	477.600064566159	378.147536114457
CACHD1	359.923450046755	362.514415349155	375.755862418253
itsn2b	391.136874582955	387.505230578823	389.052666261375
SRRM2	389.631968142829	443.279737893617	463.013705825721
ncaph	469.062375912932	363.862640363946	392.256155956582
sumo3a	423.131997756896	430.525398097559	392.86943963456
gmps	353.125099807177	372.943277466944	333.257558058729
gnaia	419.660204471595	430.726088053186	396.873691303499
SCAF1	370.85632749428	429.508849512006	380.235442075096
eif5a2	398.340201318595	308.139124263541	327.328559614443
atad5a	403.2926123705	386.338515380317	387.975550813142
myef2	318.867660024937	386.294541341316	329.805129150085
ilf3b	389.268133750106	430.772401150649	372.19200769584
rnf145b	402.120807724108	405.907426405952	334.830341167993
dkc1	278.686758061996	338.692654276418	365.529014308003
seta	368.624743586947	354.730076503203	367.696509995583
mapkapk2a	432.948091830539	417.063263432274	411.612397251773
larp1	381.735174987532	426.202844468405	362.680583527505
hnrnpc	498.279667931337	410.300619060478	396.426219769036
micall2b	593.659803557516	366.241448215029	553.401197310279
ncapg	412.899030756473	419.51177486541	360.263706336083
srsf2a	418.174629807869	484.214881383465	391.597329208283
gro2	331.603847630427	361.304193883326	358.965065935475
zc3h15	374.744993706362	302.922120260344	361.134330392572
TPP2	374.677580293024	365.543477451366	350.871224663806
tle2	387.698787953334	396.982101804509	362.668202827073
tlk1a	367.255159785579	380.905851527363	383.98987014584
med13b	478.024896646506	408.708197822737	459.166865037199
HNRNPU (2 of 2)	390.555433446773	402.525168576662	383.995618254664
glula	270.862335217158	408.550546262719	518.59392147155
rpl12	410.793351403763	254.582030866316	242.97751285258
cnot8	423.900312935573	403.306409301401	426.419638705668
ubn2	334.741547701779	309.730609857889	332.445742059726
aktip	386.863554969451	387.607680779279	382.230051031225
atp2b4	412.725044462935	415.491425848982	390.288076876758
skiv2l2	414.765293140761	426.048935381919	382.066007657225
trpc4apa	387.658141560103	375.444651301217	376.696790749877
NOTCH1 (2 of 2)	328.16427397246	344.439685706053	334.102536525645
vasa	346.598881771486	414.763983068735	360.15581796332
nop56	385.180696860858	288.818151934388	379.631886041303
rrm1	324.342029753501	336.992169177941	290.145970119252
tubb4b	341.39267887188	303.272041285568	274.174506611843
puf60b	381.85760967338	372.595695500183	341.874481252493
sec61al1	283.646604357607	284.88621876764	294.720615452097
gar1	283.471131137701	289.339758770369	294.921358636991
crebbpa	272.87135548391	286.928204300883	303.156692843689
sin3b	306.593453028451	315.491675638299	316.00558295997
ddi2	379.520444408039	428.320615015659	369.579693333995
CCNA2 (2 of 2)	369.810427402511	410.638377021711	408.782979567266
syncripl	361.867535348731	377.208290578037	318.534328059514
smarcd1	396.731696258914	384.792875011718	351.158632359628
khdrbs1b	382.85641944645	402.155599640419	358.273961104021
plk3	195.673522939378	255.248658426646	308.082417653909
st14a	396.66676119216	378.123324606527	357.960023531893
fam76b	398.302529084031	444.740704886069	383.239957256899
zgc:56231	635.28265973426	356.085318693381	555.519170490205
lmo7b	388.15283740457	320.927614193108	349.7799600397
slc37a2	368.369960319031	414.346697619958	358.82578376629
zc3h18	381.039230119314	369.737851437051	358.482663261609
ATP5B	246.727324282189	173.428894789624	227.716609366968
stip1	258.438430600656	300.702835156027	294.178520434012
ssbp3b	368.93851360428	362.924683722581	382.830954106796
calm1a	367.600653822116	440.282018894701	364.311732403852
patl1	383.569217642509	383.35997662078	341.434084305966
bora	420.767569659364	332.473603810122	363.228868846794
TCF20	345.45235721883	362.878370625117	335.830077557104
ezh2	315.900476378347	363.342436943035	344.04551438108
kat7	309.33956026676	385.652707680646	314.965609515009
abca5	348.998999365128	371.904741911909	328.469789036608
tmem48	415.741796978762	347.012634309126	352.696484329489
wdr5	282.527838347249	369.64007935352	263.993643666267
dip2ba	373.163255768763	314.502259910831	364.684035841086
kdm5c	328.887977280999	284.336075558468	279.101557803149
pbx4	267.398472885669	303.775403525562	306.964622957447
gnb2l1	333.218796513598	193.209723191484	312.743727399656
aspm	400.102865083328	397.286177603983	372.868521061018
rtn4a	320.390411213119	282.813825674458	239.543654847546
chd4b	363.793775902651	348.275718076055	307.749909080145
vcp	243.753696608154	305.187718362088	224.459175436368
hspd1	324.544270095489	303.50922033313	232.280200478491
qk	304.920508612123	313.049245737159	391.421347326229
heatr5a	358.971730592383	332.903987866245	363.992931009632
ywhae1	341.758991713163	349.639380856692	312.302003974018
lemd3	377.70375079101	350.0716361996	322.386474764482
WDR1	316.63111932246	324.115731270408	222.888161096619
ppp4cb	360.032501273539	352.381208340345	317.417417747811
tram1	390.167805988659	320.734876956225	346.761295485974
EIF2C2	444.098575919547	462.736842584983	450.155530159609
cdc5l	296.843781049907	329.077779501771	347.967965361183
sppl3	347.742927875581	352.610434669164	349.396160286791
suv420h2	375.881108856644	344.297004040166	386.472187790306
ck2a1	344.38662974253	320.402732655273	304.886444640992
drap1	358.304535584701	424.355935230508	353.422962394701
lbr	304.143271059419	301.157545340132	275.919292067802
aco2	388.265358398153	374.14554621403	278.326883709393
mlec	421.673685925361	338.495706794324	347.627055720371
cited4b	191.431927345078	458.093372175511	269.450851465629
micall2a	312.014784222956	336.74235929471	328.113403544762
xpo4	340.235744916851	284.681786338481	197.777576760084
arcn1a	348.369972200139	297.661142218147	294.090971636351
suco	386.05508910765	337.732710565534	331.894361589836
hnrnpk	362.57686377799	348.058654811227	322.059714299543
cbx1a	362.508954654546	368.940705174788	365.303067627889
fam208ab	325.190646298425	305.637750529305	319.456243295149
hsd17b12a	379.656262756905	337.85761550715	302.117603685461
pik3c2b	251.437839917112	301.446651245475	313.038209683414
ywhaqa	310.00526814412	274.757689875756	278.394535026306
znf346	350.351729736678	343.205138212279	331.202372373624
ran	327.404881065834	290.321221679057	290.340965195321
fxr2	331.176069489189	332.907730339778	318.770002285787
llgl2	326.044715348602	323.173096512118	292.733081083904
mll2	349.914037903174	360.462138038706	310.651399711278
phc2a	362.676001210532	263.634131596122	365.706322669168
usp37	416.971596954357	412.904910866884	441.209193640709
elavl1	469.961552543354	476.669125000145	388.559209464213
ppp6r3	309.407965100312	330.855453029329	334.384196014617
usp1	365.429048084415	344.107541505137	343.052852579905
WAPAL (1 of 2)	399.171964433702	372.040874274122	409.13273256553
fbxw11b	232.557113620663	238.930083113298	202.620616594735
entpd4	307.450991947403	327.112514625932	320.082791960292
setdb1b	326.327752766946	367.613531586123	312.60267655898
