genes	logFC	logCPM	LR	PValue	FDR
plce1	-1.09171147148704	1.77542514009854	0.891830263004768	0.344981805526213	0.999874956251559
daam2	-1.09113548877698	1.63179747880524	0.72227997674817	0.3953970523167	0.999874956251559
zgc:101553	1.09109479927981	2.75903202650918	1.43399254374732	0.231113956841077	0.999874956251559
si:ch73-191k20.3	1.08968703579568	1.76804425830697	0.904144816431173	0.341672759350594	0.999874956251559
si:dkey-220a11.5	-1.08883346862691	2.01187309071971	1.20468061709761	0.272388176693852	0.999874956251559
CABZ01052953.2	-1.08866531700483	1.75511090523087	0.862354060784608	0.353080761884368	0.999874956251559
BX088649.1	-1.08801862728719	2.8105179719914	2.75971786421751	0.0966652835696285	0.999874956251559
ZFYVE9 (2 of 3)	-1.08738811173439	1.60766535693513	0.691281308787793	0.40572890176652	0.999874956251559
BX927371.1	-1.08500168071592	2.06957537352993	1.28224514477432	0.257482005632924	0.999874956251559
hbz	-1.08479706346778	5.59025184967897	1.69850011386346	0.192484246369867	0.999874956251559
MEX3A	-1.08472913769777	1.89921056016622	1.03960931496839	0.307912352313138	0.999874956251559
CABZ01048960.1	1.08401707599403	2.32938281117198	1.75764246389262	0.184918845581947	0.999874956251559
klf12b	-1.08328392833747	1.87845323193315	1.0096183879107	0.314994278808874	0.999874956251559
MCOLN1 (1 of 2)	-1.08172636316966	1.79166961134269	0.896633181882757	0.343686085834242	0.999874956251559
nudt3b	-1.08156792947814	1.66401001023508	0.74628159125537	0.387656060622911	0.999874956251559
BX510940.1	1.07980320256235	1.62347775926554	0.718475159681686	0.39664454032872	0.999874956251559
ENSDARG00000078299	1.07977573003391	1.86921753645044	1.01912526852484	0.312726587791707	0.999874956251559
USP2 (2 of 3)	-1.07788004425864	2.52788920636715	2.07174021924756	0.150050222631557	0.999874956251559
b2m	1.07694437095839	2.21310860384741	1.53092208553382	0.215974108886585	0.999874956251559
skila	-1.07611612099367	2.72875851421532	2.50678284029416	0.113357135443812	0.999874956251559
SOD3 (3 of 3)	1.07526570036448	2.54398022877712	2.15387132328627	0.142210911321431	0.999874956251559
MNT	-1.0741260379999	1.99173380069414	1.14623133059065	0.284339455948627	0.999874956251559
RAB27B	-1.07411025682448	1.733473606895	0.815609744398074	0.36646690832938	0.999874956251559
crb2a	-1.07337572034843	2.42558634144418	1.85455249494708	0.173254839269485	0.999874956251559
thrab	-1.07332590797124	2.40768491223301	1.82092961303349	0.177202662209027	0.999874956251559
fam78a	-1.07316541372744	1.45981258565135	0.526622898815354	0.468030133613546	0.999874956251559
MGAT3 (1 of 2)	-1.07247486570779	2.49480807543249	1.98608805755776	0.158750509054718	0.999874956251559
MAGI3 (2 of 2)	-1.07244666597294	2.11464383993435	1.32228673502315	0.250182065279615	0.999874956251559
gpc3	-1.0707063410378	1.55289180659641	0.61507260056564	0.432884254063129	0.999874956251559
PNPLA2	-1.07057225599998	1.64446064623224	0.710835287859491	0.399166655971716	0.999874956251559
ADAMTSL3	-1.07053572340045	1.92481181467468	1.04812181045835	0.305940047625098	0.999874956251559
SBK1	-1.06992558098877	2.87658939379653	2.84234819983969	0.0918099549687601	0.999874956251559
fuom	1.06937307537514	1.95111629109015	1.11106479297072	0.291850603274568	0.999874956251559
xkr8.1	1.06880718171854	1.53885193686649	0.614972187898813	0.432921812082972	0.999874956251559
iqsec3b	-1.06858347884888	1.87983123725561	0.985875430279953	0.32075254911148	0.999874956251559
fars2	-1.06853921567972	2.1447129543527	1.35940956265622	0.243639835735002	0.999874956251559
si:dkey-176g1.7	-1.06813938009908	2.36723391837133	1.73036870548169	0.188363817309009	0.999874956251559
CABZ01085979.1	-1.06811721140131	1.67097199672742	0.736746631202445	0.390705045392468	0.999874956251559
C18H19orf47	-1.06749278021362	2.31848040033617	1.64207458885405	0.200041063787425	0.999874956251559
aspa	-1.06730161934131	1.71068688922995	0.779926658894899	0.377163571040246	0.999874956251559
zgc:66118	-1.06575799916625	1.98657899995034	1.12246961508358	0.289387302767258	0.999874956251559
RNF126 (2 of 2)	-1.06527628742073	1.88500910942723	0.986822630894387	0.320520193171095	0.999874956251559
CABZ01015106.1	-1.0641797704098	1.71278638692914	0.778070653587554	0.377731852711572	0.999874956251559
smtnl1	1.06391318333052	2.72354466296728	2.50993305960843	0.11313073712695	0.999874956251559
PPP1R3E	-1.06388126915193	1.72010302286687	0.785889400984953	0.375345981740133	0.999874956251559
MICALCL	-1.06350095126111	2.59236337950009	2.15306027948486	0.142286033164765	0.999874956251559
CELA1 (5 of 8)	1.06265697889438	1.7021136011431	0.784745312418112	0.375693772200855	0.999874956251559
C2H19orf26 (2 of 2)	-1.06240999080876	1.67661159780751	0.73547513887387	0.391114219185603	0.999874956251559
ENSDARG00000036626	-1.06235081558589	1.46364082312903	0.520259063194921	0.470731193932987	0.999874956251559
