X96_bap_rep1	X96_bap_rep2
tpm3	591.401065425091	703.315523741529
wu:fa03e10	612.951938061989	924.255951412856
IDH2	638.746462012995	604.774317913802
COL2A1 (2 of 2)	481.319016319827	405.440679564539
nnt	588.653561181717	611.352239299126
aldocb	564.396917007517	604.060839717973
si:ch211-212n6.17	598.737294138148	663.4825557459
hmgn2	538.388123772652	744.88868255378
MDH2	572.752170181806	633.423659527574
ncl	580.150686485315	631.648664931553
ccng1	632.162667006599	648.284889232852
opn1mw1	570.086262636112	621.311931370013
ywhaba	581.783866313524	612.054116200958
h1f0	477.688274498075	592.186937625688
crybb1l1	600.977777607738	520.891319608069
ddx5	669.180163482346	567.284806996728
crygm2d13	553.524623586799	604.832324281196
aldh9a1a	526.205300080459	782.958257144791
ywhabl	598.415890358566	614.600595462796
eif4a1b	517.868733173558	602.314848203054
gatm	592.853611270234	701.18669024285
si:ch211-212n6.16	507.641115928997	599.211507957868
calm1a	588.744501061826	628.203087077706
cryba4	589.364262279779	580.643671848066
glud1b	569.194304812615	700.548620304113
tpm2	528.20099345701	581.020713236125
cryba2b	481.289118253018	539.600111147549
crygm2d8	503.70765659505	572.424750561037
rps27.2	515.461318977155	600.325230027157
si:ch211-212n6.8	544.971918779048	586.206481804
matn4	484.685036004002	509.037719754632
ptmaa	579.12854762994	677.038642287414
ywhaqb	529.056201683043	586.415304788174
atp1a1	560.667760837689	566.692561958964
pfn2	514.83968914221	697.886128307487
crygm2d3	537.721646934964	585.719228379449
ctnnb1	503.560657912776	485.952348236453
rtn1a	525.498959153691	531.29998090513
gngt2b	576.18857486171	658.447603589617
tnnt3a	489.899127542614	475.807035769387
si:ch1073-429i10.3	469.689306083841	575.62032098578
MYOM2 (2 of 3)	460.142491968004	455.158511443791
pvalb4	553.163355718138	689.898652420203
eif1b	598.377272046638	647.32778427345
col9a3	460.021031181245	482.412220026325
ampd1	741.147209347095	599.553745463934
crygm2d5	510.477691435487	556.497944069354
stx1b	423.336773221814	379.955584912494
col4a5	403.660133272179	388.589251716129
eif3s10	463.709700422154	463.587995821888
vdac3	535.23014458405	528.520316136652
si:ch211-251b21.1	626.239120147076	607.262790808247
csde1	461.210100665962	501.731238563097
rplp2	496.762593719993	620.673861431276
gamt	365.043715206328	632.791390184539
h3f3d	453.077214083339	451.265124503428
arr3a	420.208069065239	503.038701903585
tpi1b	436.102608437024	538.699852415881
crygm2d4	438.517497101393	499.940582184271
atp5f1	466.270964928957	521.605377873728
cryba2a	466.585517080412	507.538255249839
eif4a1a	468.274132773475	452.107376867702
atp5o	455.019963051869	541.125098314466
col11a2	403.581650968643	396.003044595006
crygm2d1	463.854207550124	475.124300864149
zgc:158409	464.222327046913	545.176262606969
hbae1	226.209105856809	299.255975667677
hbbe2	200.054559716822	330.787073211399
mdh1a	497.234110575992	566.238372206917
zgc:86599	491.449464895993	540.274725075172
ENSDARG00000002369	535.561514385902	646.411283791743
COL5A2 (1 of 2)	325.363425579031	307.320599918948
cox6a1	446.948118282546	559.035722386343
ldha	498.861061615915	578.13953727341
apoea	281.222723896934	818.753982421233
spna2	407.566186093619	356.217061845198
mibp2	448.837299905744	507.537095212774
fkbp1aa	447.242115549622	518.262471251182
cct6a	429.409187380602	444.467939184781
fabp7a	446.348911948973	434.065078380827
ppib	450.846696636019	482.05200056073
si:ch211-212n6.18	438.604076810207	475.133581878828
gpm6ab	371.477397136307	383.346636817925
zgc:77702	526.078233442725	622.767891047963
pgk1	411.014425412785	489.057428691127
opn1sw2	424.462309436399	465.965676610012
slc43a2b	354.869042369788	702.074187643455
stxbp1a	382.487346154339	370.895571400851
apoc2	386.012821999889	736.489361499039
atp1b1a	475.171234251646	559.125632183987
ran	410.968332535419	479.29031775178
col10a1	302.285884867277	380.246196819292
tkt	400.313422695233	557.848332166855
tubb5	466.681439874185	366.473746488414
zgc:123103	522.928974499241	759.262658731913
appb	425.280145030184	376.235056934654
atp5c1	389.153983635566	469.32076449379
stmn1b	375.937186448737	394.091154955521
eef2l2	407.949254623813	444.375709107818
stau2	379.290748556339	394.307518744886
eif2s3	397.48369891434	422.688290900196
RPL38	397.526677300092	519.12966641294
crygm2d7	394.284609859507	453.936317444904
pkma	504.733532684408	558.582112601532
bsg	435.228091103763	514.512940089645
cct4	431.488968911665	387.116470115714
glula	444.071055944607	534.368517473513
zgc:162402	404.396372168285	437.246147265019
eif3c	381.723077808416	368.731354052943
sec61al1	351.468141607669	401.853566211185
clstn1	366.422761759069	317.87137688794
krt17	211.72849411571	369.221507826642
ppdpfb	348.31327681321	716.558375858079
aco2	418.788535583578	445.081066428628
ndufv1	459.484735277963	480.901734399959
MYL4	418.536893862413	453.994903882128
myl10	367.00951051607	482.774759771238
fn1b	239.294476332081	329.140272611398
CABZ01074130.1	407.563071699476	380.348287980764
gnb3b	375.115613523497	402.334438970205
prdx2	363.406175206824	488.912992945067
si:ch73-103b2.3	586.183236555024	797.622265159893
atp6v0ca	414.009211206028	437.057046552457
CPLX1 (1 of 2)	373.827506753393	316.221676041386
ces2	493.236495034602	694.730582290609
RPL29	406.411997589376	490.942635426234
cox4i1	380.241879576144	482.42788180913
atp6v0cb	360.5546507644	322.308283513352
ATP5G2	367.083632745782	444.58917244544
gnat2	376.690865835079	435.121374255146
ywhah	336.013352505553	346.263170267418
zgc:165347	303.293074786718	356.028541099871
myl12.1	373.128017454753	453.165412951511
h3f3a	321.421245999965	434.994920366021
HNRNPAB (2 of 2)	374.698286852671	418.106948528723
eef1da	357.701880544824	407.267299862422
hspa5	360.420109658699	352.878215711459
tnni2b.2	437.364554374301	485.38794634532
sncgb	405.328194080862	372.262201248392
eif3ea	331.66381218046	372.890990275044
gdi2	357.234101020279	401.300185544221
ldb3b	403.287653604096	408.737181011094
sncb	349.455007740881	330.712245024136
tnw	329.958378837001	301.809995734706
pfn2l	361.837151586057	407.36649077734
ckmt2	380.964415313467	425.91460461553
crygm2d9	303.149813338428	343.765996428124
si:ch211-255g12.6	297.936967479496	431.965248168439
nsa2	331.565397832385	397.894052028409
mdka	332.60871450945	399.166711589499
hnrnpm	329.911040279955	306.50097007284
myom1a	357.405391820916	318.077299522966
hmgb2a	314.516047116516	456.89580201386
rps26	330.694617830578	426.723213340064
capza1b	331.744163198459	374.944415414035
snap25a	340.108759457707	302.247943736713
srsf5a	359.285230359155	358.475249479557
tgfbi	306.457905603446	311.243570112837
vcp	403.163701360506	399.96603919676
si:dkeyp-86f7.3	267.694488952792	340.16322139456
myhb	208.883821301413	257.925283376745
pcdh1g30	281.658113897838	303.003766619725
sfpq	278.726238534885	259.924182567321
basp1	328.229276215019	343.152869184277
arf2	330.446090406086	354.063285651629
krt15	150.261884940907	139.559243660931
tmem38a	351.575276298334	361.144122141714
hsp90b1	327.054532826396	365.897743405879
cyc1	338.486168589079	402.938865166607
and1	338.889791906181	313.225067413713
crygm2d12	304.942449328012	355.216452058953
uqcrc1	346.746121809435	390.099737342495
canx	335.135097840838	397.43000108926
cox8a	357.082119326871	401.239278827679
cpe	292.528538799035	263.060006415181
crygm2d14	312.354045950463	365.302018051731
h2afvl	313.47148475977	354.882915497737
icn	388.474426283994	488.651964291796
anp32a	331.479441060882	381.315834094504
si:ch211-288g17.3	284.134667312818	350.222684450194
atp5l	341.491543341903	388.273697114441
acin1a	305.965833863067	275.729755798344
oaz2a	328.007532463193	295.020931188484
flna	253.619991985628	291.741831631628
UBAP2 (2 of 2)	302.105250981682	300.71599573184
fstl1b	245.761793562853	289.840963216311
oaz1	336.9775638443	381.837311228623
azin1b	334.293592968529	391.221580286804
psap	345.517188235639	409.720388805044
cotl1	302.114594164111	396.544824070568
zgc:86723	274.491930208265	342.372683676204
marcksb	271.412433323199	305.616953193807
cct7	329.821346176998	343.751494887573
mat2aa	375.316179453632	295.73904994295
chac1	399.455100172528	244.231141754702
tcp1	342.800827836227	355.816237901908
cct5	307.666907132703	333.646206725778
marcksl1a	280.090336054222	342.793809858341
rtn4a	360.288682947141	413.724567954322
eif5a2	328.257928504677	417.250194521304
desma	305.24828123435	324.467860302623
pck1	365.808606392092	395.863829374818
cct8	302.202419552606	324.950473168536
cct3	313.065369888365	339.192194964437
cycsb	420.080379587665	523.210413856375
crygmxl2	314.301777930128	323.297291903004
syncrip	297.771282627305	274.692021953382
ewsr1a	288.775090413372	277.949659234327
itm2ba	318.056471995471	337.035518421719
txnipa	291.268461478749	352.672293076433
hp1bp3	231.662381637484	257.342899526084
zgc:73075	261.569130385983	268.360627680779
setb	287.956009042435	337.161972310845
fabp3	274.323753801772	320.898728908798
got2b	312.878507214483	327.548578132238
MYOM2 (1 of 3)	248.126229276033	295.623037208163
si:busm1-118j2.5	167.400306822421	181.452597633507
btg1	293.063588925165	345.301424851974
suclg1	290.156005680576	326.899486969333
zgc:56493	331.2315365737	406.226085701078
tegt	322.785343519302	349.041674998832
cltca	262.369525489531	256.831283476473
anp32e	308.100428516614	335.15437217542
id1	268.455019967262	276.174084568476
uba1	299.866013191773	296.667731788485
rnf10	274.703707937821	296.677012803164
capzb	327.787034488518	339.601139782746
eif3d	245.046109551127	263.307113597731
dlst	298.135664792639	325.69643496704
hmgb1a	252.212293240699	322.995658874633
tpm1	287.401026871765	290.409425493656
tuba8l	352.645999390435	406.541640302766
TAF15	276.070297011461	301.696883246472
gpia	289.782280235342	302.490990327861
eif3i	259.435781412117	296.63582825564
c3a	182.954756147235	362.855889844469
ENSDARG00000073699	268.413287358662	269.492331812192
gfap	225.525188431413	248.85888919957
ywhai	258.53448050366	289.930873013955
smarca4	233.560906443112	220.359784030154
cry2a	392.260264193298	357.994956790367
hmgb2b	250.329340308317	307.495199090959
pl10	291.992865735593	261.383042594419
pdhb	280.346337946682	328.775992656996
uqcrfs1	270.484971581917	318.109203055811
cox7c	272.497482608865	418.655108567221
serinc1	290.593264298471	267.165696656101
CABZ01079178.1	231.985031194218	215.946080095332
cspg5a	239.009199310123	196.123566383969
ndrg4	239.868144672668	202.396374219349
hdac1	267.612269317802	282.370904076934
pabpc4	289.089642662299	252.1084055029
vdac1	275.504725978681	296.399742399852
fabp2	277.545266357976	356.224022580559
sf3b1	257.63068794343	242.738638087865
ogt.1	277.290510242668	227.357091388126
hnrnpa0a	240.586943176008	264.263058417474
ywhae1	281.308057828597	305.41277076827
slc6a1	266.136677033976	231.537609816309
KRT23 (7 of 15)	392.634612380902	518.764806388708
KRT23 (1 of 15)	291.957361817808	370.461103817822
HIST2H2AB (28 of 30)	247.432345925838	267.710956448045
krt18	246.833139592265	354.308652522096
aldh6a1	275.729584027179	368.387376337388
eif3ba	250.470733042144	264.207952296634
KRT18 (2 of 3)	236.949349726129	391.945499739567
caprin1b	239.711802905436	255.955387369866
gstp1	656.579390279486	789.25774788455
EIF3F	241.736148571646	276.422931755326
eif4g2b	276.698155634693	260.931753088926
ndufs1	286.955670848592	269.059024266227
cfl1l	222.809450871841	311.70240042352
mdkb	235.527324690165	300.075025443956
cdh2	223.218057297549	202.689306405466
sdha	323.261220449125	356.568000296114
dldh	263.258368918886	303.366306364639
serpina1	208.359982877233	377.497275341405
col18a1	196.641201475601	213.464567936248
atp1a1b	250.89802573524	250.021336724169
cox6b2	299.322865757835	364.416260963209
ENSDARG00000089776	275.07182743461	387.688412914632
khdrbs1b	218.001474204634	261.390583399609
tdh	262.505935212224	265.880855833778
rhbg	216.48726360888	269.492911882021
eif4ebp2	279.352228443654	320.202652602668
ppp2r1a	252.931714486408	272.584650935804
myoz1b	246.119324197531	264.776994746403
nucks1a	245.66649360892	266.275299008942
kidins220b	213.584663375426	188.017177515344
glulb	298.713070562152	310.618841677587
ckmt1	262.352084999295	353.427535889616
ENSDARG00000089414	256.589862820667	214.802194600092
thbs1b	264.147212445711	284.452172259963
fubp1	215.233415076881	227.618120041398
atp1b2a	245.92311834122	227.307785965582
MAPT (2 of 2)	234.076647462014	196.363712728564
pdha1a	266.230108370917	304.75671876741
hnrnpu	202.40529227122	209.791025101633
col11a1b	179.563821407386	146.688225433901
cs	239.092664624794	284.104134055601
atp1b3b	251.36082224865	241.812276521648
h3f3c	254.86512036998	194.839305528882
hmgb3a	213.386588902123	247.404669731109
col9a1	264.688491262657	331.705313902595
atp5d	267.308928965767	307.687200152669
cldni	284.333364625961	347.154728054236
ubap2	218.662345191347	190.32061008344
DYNC1H1	229.79749213265	140.043596838928
gnb1b	240.221938073363	256.497746812662
c9	138.639026430519	262.23689625269
zgc:153867	231.385824860645	340.83493507563
rab2a	231.167195600433	251.857238036731
try	384.418260483608	480.243362222375
sucla2	252.202327218429	258.178771224826
ogdha	258.820380365458	287.873387386156
smarce1	206.620914232981	215.232021727079
ywhabb	245.426063589706	280.175363266011
hspd1	271.806090715503	282.336100194941
and3	174.114282860694	220.349922945645
ctrb1	433.857141956299	501.064745407899
lgals2b	299.38951342211	355.441516793168
gnao1a	226.783397134708	209.81248748014
dcn	200.745328770344	222.993852912913
ap2m1a	232.076593914168	238.072026374791
pcna	213.793326710839	290.775445657547
srsf11	223.55877018436	219.342352526635
ppp1caa	207.692883102233	217.331271972232
ywhaqa	222.615736569833	256.134626997919
flot1b	215.533018194932	286.203384300754
stmn2a	242.232580483319	227.560693743834
xbp1	257.646882753986	233.586974569088
r3hdm1	216.434942040699	180.93460081577
CELA1 (1 of 8)	417.819341233695	453.38293677794
ahnak	202.63201893671	280.9520684577
ryr3	222.222702114841	180.795385492988
hhatla	254.774803427182	263.457350042088
tnc	167.671257748285	171.710429286455
pde6c	214.375715394016	233.370030709894
cltcb	218.094282604263	205.78800619461
sf1	202.372902747578	205.49217376194
ache	222.053279931196	192.158831675321
atf4b1	266.180901196879	249.872840386707
tardbpl	220.335389011164	234.863694516391
fh	247.509582452223	248.819444861535
ipo7	187.767092985737	195.721002231191
tuba2	243.280880074049	221.292526364496
eef1db	183.573271588037	198.434539757255
slc25a22	224.919753407025	217.192636719278
si:ch211-55g3.6	209.894125517526	243.408611559446
hmgb1b	213.409012403495	233.1124824756
p4hb	215.613369115459	262.268799682941
ywhag2	249.498424200648	233.477342499832
EIF4G1 (1 of 3)	192.836054556539	190.559016218546
cast	234.529478050625	264.252617263136
si:ch211-253p18.4	217.290150266731	299.670721081688
col4a6	162.540008587032	180.337715321964
cnot1	192.118501830351	164.323319209361
ivns1abpa	227.145910780521	213.827687750991
islr2	199.561865136603	202.791397566937
kif5aa	208.4185332337	150.091458600564
SEC24A	225.010070349822	192.048039466406
tnnc1b	229.870368585211	274.216949892659
tardbp	203.299118711709	198.428159091724
dynll1	210.55686512123	219.319149938639
ndufa4	172.895315309168	259.167779614478
alas1	216.410649922336	252.713411871727
atp5h	202.968371749697	239.589472736518
zgc:86896	191.630167323955	205.753202312617
crygmx	192.366406317532	180.903277352755
smyhc2	209.362812625379	215.297569002257
hnrpl	195.163117734943	196.652004356044
atp5g3a	235.014698065406	284.051928386503
aldh7a1	225.49030745094	242.311131240197
si:ch211-166a6.5	162.45467465537	157.298168909946
ctbp1	193.486959520982	172.81429037383
dpysl3	186.242293527874	174.875836387842
skp1	215.49066264902	233.039974567655
kars	372.458426222922	241.084876752503
ppp2cb	214.74944074178	231.04745604261
ola1	196.174667728208	232.567222683656
crygm2d15	192.177675026658	220.066851946632
rbm4.3	185.715963646862	217.302268788535
celf2	172.291125964459	183.661479845321
srsf1a	202.542324833752	257.46065247036
eif3s6ip	192.575692492785	217.798223157935
tmod4	202.831962027004	209.774203281764
seta	200.061411344948	257.57318478617
clta	223.901974625474	211.607204245179
gbas	227.403158352661	218.681660069733
zgc:65894	235.223361400819	176.505235098143
fga	205.598775377606	372.94551622346
srl	194.158419369805	212.897265798562
kpnb1	198.699182442603	197.527320290227
ewsr1b	203.348948725587	223.515330149627
atp6v1aa	211.024644645775	188.865810545149
gdi1	207.154095742119	177.095739823824
gtpbp4	204.972785468838	218.828416095111
h3f3b.1	189.965843749256	220.050030126763
hnrpdl	218.613760857149	246.695831991322
pabpc1b	191.309386481684	254.305106453482
arhgdia	220.938332578721	291.482543187845
hsp90aa1.1	416.161246349812	362.605302345536
kdm5bb	182.420951700785	147.850672958499
serpina1l	241.402910152802	391.798743611593
IGFN1 (2 of 3)	222.689858799545	207.894217175124
col5a3b	138.326342798584	121.943291984659
meis1	182.668856187966	165.586697755771
crygm2d11	177.413031943283	247.372186128434
rab11a	219.150056760431	218.656717272248
tceb2	225.607408066404	248.190655937478
pbx4	169.42340680895	195.773208002883
APOM	205.514064285784	373.516878849953
stau1	199.886383310328	192.40999914149
adssl1	247.699559520248	231.65652279765
alyref	190.292230637444	176.566141814685
sec61g	172.23942733359	223.943997136954
gpx4a	248.783985966073	417.413772469147
epyc	186.148239253622	231.293402982907
lamc1	180.220955160115	160.801753131186
eif5	190.67903630415	209.896016612253
tob1a	241.624653904628	185.634856271178
ppp1cb	194.999924339584	205.241586263006
nsfa	204.967179520392	181.824998462929
bhlhe40	206.889996541853	208.193529924177
gspt1l	193.094547905831	228.790428547911
sypb	196.245052626466	164.989812364559
flot2a	182.121971422574	185.004907104867
huwe1	167.358574213821	159.835367157105
npm1a	172.022666592898	228.257930189623
UBE2QL1	183.530916042125	161.39689831291
cbx5	164.176925649225	207.683654084055
acadvl	234.325797726346	245.01828810073
rsl24d1	186.176268703439	217.120128811334
aplp2	217.009856255909	214.257514877977
col6a2	157.389450318551	166.111075341633
hsp47	229.086168194748	153.520214634541
COX5A (2 of 3)	187.816922999616	201.241467602536
ptgdsb	740.00111824813	778.329349560264
hspa9	264.549590083133	279.101665501992
casq1a	240.116049159849	200.758274666793
agxtb	204.898040399285	242.032120627396
etf1	183.508492540754	200.2101145257
atp1a1a.4	222.866132513846	241.643477945339
col6a3	129.204329821539	136.284204592882
cfl2	184.904356743892	211.871133247598
chd4a	155.893303150346	137.179242696083
col17a1a	190.456046872643	196.251180412754
sumo3a	191.615218388021	223.410918606243
kpnb3	198.042048689874	175.015631780454
pcbp2	206.399793418466	195.298135839565
eif3m	172.008963336645	185.804234814722
pdia3	230.162497235295	277.148011347748
aqp3a	192.092341094996	262.484003332646
pnrc2	215.523052172662	260.331387278736
smyd1a	189.524847897378	208.100719777385
cd99l2	188.12960653408	181.458978299038
ppp2r1b	197.130781759148	198.85044541352
prrc2a	163.377153385517	156.183286598403
amd1	175.926227957507	177.01453097103
safb	207.549621751414	176.731459869422
ptp4a1	165.847478012211	182.843010036278
hif1ab	192.731411420177	210.985956126312
chd4b	170.966892436731	159.425842166371
